"","Squad","Comp","Player","Nation","Pos","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG"
"1","Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF",62,54,39,53,54,52,63,67,85,38,70,13,24,79,3,5,42,35,56,13,22,33
"2","Ajaccio","Ligue 1","Cédric Avinel","GLP","DF",55,69,79,68,69,66,92,88,50,59,83,9,35,91,1,6,46,53,75,12,27,48
"3","Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF",41,49,61,49,49,52,55,60,50,75,45,4,18,84,1,2,9,24,52,9,12,13
"4","Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF",85,73,52,72,73,80,25,56,69,72,34,12,24,93,0,4,26,51,78,8,23,31
"5","Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW",35,47,66,46,47,55,36,37,22,48,20,20,38,63,15,20,88,49,45,58,57,93
"6","Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF",12,8,9,8,8,11,6,18,56,38,70,3,5,13,38,5,42,8,12,41,12,23
"7","Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF",10,13,31,13,13,15,100,43,41,21,92,3,12,34,19,2,8,4,14,31,6,10
"8","Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW",5,5,14,5,5,6,2,18,41,88,34,1,2,13,33,1,7,2,4,49,20,38
"9","Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF",12,10,15,10,11,15,19,28,50,21,59,9,12,5,63,70,99,12,5,66,83,98
"11","Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF",62,71,73,71,71,71,85,80,50,17,52,12,43,87,4,14,87,61,75,20,37,76
"12","Ajaccio","Ligue 1","Ismael Diallo","CIV","DF",66,79,85,78,79,80,76,86,32,87,34,15,53,94,2,13,90,72,81,32,47,95
"13","Ajaccio","Ligue 1","Moussa Djitte","SEN","FW",8,3,4,3,3,6,3,18,50,28,34,6,2,8,42,3,24,1,4,43,4,8
"14","Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF",73,90,98,89,90,90,92,97,12,10,45,8,43,99,0,5,18,69,91,7,28,46
"15","Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW",3,3,26,3,3,6,29,18,22,87,34,3,2,10,38,1,6,1,6,40,1,2
"16","Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF",41,43,47,43,44,52,22,28,50,63,34,9,38,68,11,13,76,48,43,60,59,94
"17","Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW",85,90,85,89,90,93,59,80,22,98,34,12,55,96,2,17,98,77,85,34,49,99
"19","Ajaccio","Ligue 1","Youssouf Koné","MLI","DF",24,37,70,37,37,46,43,56,12,1,59,14,32,42,33,33,96,32,33,44,46,80
"20","Ajaccio","Ligue 1","Qazim Laçi","ALB","MF",14,7,5,7,7,11,59,28,64,5,52,7,5,10,42,9,60,7,9,48,24,44
"25","Ajaccio","Ligue 1","Thomas Mangani","FRA","MF",58,52,40,52,53,52,72,56,82,21,52,11,24,87,1,3,13,35,65,8,11,11
"26","Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF",77,87,87,86,87,90,76,86,22,59,20,14,53,96,1,14,95,75,87,22,42,95
"27","Ajaccio","Ligue 1","Fernand Mayembo","CGO","DF",19,29,60,28,29,33,51,52,32,79,80,3,18,50,11,4,35,20,37,18,9,14
"28","Ajaccio","Ligue 1","Bevic Moussiti-Oko","CGO","FW",35,28,23,28,29,30,17,18,78,59,34,6,14,31,25,18,82,24,29,36,32,60
"29","Ajaccio","Ligue 1","Riad Nouri","FRA","MF,FW",85,63,37,63,63,55,40,37,96,82,52,12,50,89,5,11,76,55,73,16,29,55
"33","Ajaccio","Ligue 1","Moussa Soumano","FRA","FW",24,19,18,19,19,22,9,18,69,48,64,2,12,39,15,2,17,11,19,32,18,31
"34","Ajaccio","Ligue 1","Kevin Spadanuda","SUI","MF,FW",49,43,33,43,43,49,15,37,74,59,70,2,12,68,4,3,21,22,45,12,12,16
"35","Ajaccio","Ligue 1","Tony Strata","FRA","MF,DF",1,2,48,2,3,6,100,28,12,72,34,1,2,10,38,1,3,0,5,39,1,1
"36","Ajaccio","Ligue 1","Yoann Touzghar","TUN","FW",19,17,23,17,18,22,19,18,56,33,20,22,9,19,33,15,75,11,15,41,30,56
"37","Ajaccio","Ligue 1","Clément Vidal","FRA","DF,MF",58,69,73,69,69,68,92,84,50,9,77,7,32,96,0,3,13,50,80,6,17,16
"38","Ajaccio","Ligue 1","Mohamed Youssouf","COM","DF",73,86,93,85,86,84,94,96,32,44,59,6,43,99,0,4,16,65,92,4,21,17
"39","Almería","La Liga","Sergio Akieme","ESP","DF",70,83,91,83,83,87,76,95,12,1,59,23,76,95,9,29,28,74,95,6,23,36
"41","Almería","La Liga","Srđan Babić","SRB","DF",90,98,100,98,98,96,94,99,12,98,52,39,88,98,11,36,52,88,99,6,30,90
"42","Almería","La Liga","Léo Baptistão","BRA","FW,MF",70,67,55,66,67,80,22,28,41,38,34,50,73,79,48,51,84,57,75,15,29,63
"43","Almería","La Liga","El Bilal Touré","MLI","FW",44,48,50,48,48,52,32,28,56,75,52,34,60,55,63,61,87,46,49,44,48,88
"44","Almería","La Liga","Juan Brandáriz","ESP","DF",46,59,71,58,59,55,94,77,56,75,80,34,58,79,17,28,36,56,81,8,16,25
"46","Almería","La Liga","Álex Centelles","ESP","DF",26,42,79,42,42,39,100,67,41,94,87,32,50,50,54,51,77,42,52,29,33,67
"47","Almería","La Liga","Samu Costa","POR","MF",81,73,55,72,73,71,76,81,78,24,70,39,60,94,3,13,4,63,93,2,10,6
"49","Almería","La Liga","Íñigo Eguaras","ESP","MF",58,39,20,39,39,39,32,48,93,24,83,58,35,52,22,24,30,32,54,14,12,21
"51","Almería","La Liga","Adri Embarba","ESP","FW,MF",70,55,34,54,55,61,17,18,82,54,64,38,58,65,38,44,67,56,58,44,49,91
"55","Almería","La Liga","Luis Javier Suárez","COL","FW",46,59,71,58,59,64,55,64,32,54,20,30,62,75,28,39,59,55,75,14,25,49
"56","Almería","La Liga","Kaiky","BRA","DF",24,23,28,23,24,30,55,43,56,2,89,51,22,36,25,13,16,19,36,19,5,9
"57","Almería","La Liga","César de la Hoz","ESP","MF",55,64,68,63,64,64,76,75,56,54,77,65,66,77,33,43,68,64,72,32,43,89
"58","Almería","La Liga","Lázaro","BRA","FW,MF",38,26,17,26,27,26,25,37,85,38,93,6,35,31,59,59,78,31,30,52,50,85
"60","Almería","La Liga","Gonzalo Melero","ESP","MF",62,69,68,68,69,77,36,28,32,84,45,49,79,71,78,70,98,68,76,33,45,93
"61","Almería","La Liga","Houboulang Mendes","FRA","DF",26,36,58,35,36,43,36,48,32,67,96,29,38,75,8,4,4,31,59,9,5,5
"65","Almería","La Liga","Francisco Portillo","ESP","MF,FW",62,28,8,28,28,19,22,28,99,38,85,18,30,42,28,22,30,28,41,23,15,29
"66","Almería","La Liga","Alejandro Pozo Pozo","ESP","DF,MF",73,68,55,68,69,66,68,77,78,54,52,53,66,63,63,60,92,67,78,27,41,88
"67","Almería","La Liga","Arnau Puigmal","ESP","MF,FW",49,31,15,31,31,30,10,18,93,48,92,9,35,50,25,21,28,27,42,20,13,26
"68","Almería","La Liga","Largie Ramazani","BEL","FW,MF",85,55,26,55,55,49,36,37,97,59,59,29,41,80,6,11,7,51,80,7,9,11
"69","Almería","La Liga","Lucas Robertone","ARG","MF",98,95,81,95,96,98,59,73,32,90,20,35,90,94,42,51,99,85,97,8,32,91
"73","Almería","La Liga","Dyego Sousa","POR","FW",41,20,8,20,20,15,13,18,95,44,91,11,12,16,42,31,46,19,25,36,26,52
"75","Angers","Ligue 1","Himad Abdelli","FRA","MF,FW",73,77,71,76,77,77,72,77,56,59,70,3,60,97,2,11,63,64,92,4,15,20
"77","Angers","Ligue 1","Ibrahim Amadou","FRA","DF,MF",10,16,54,16,17,19,100,48,32,48,59,1,18,25,38,20,76,17,25,31,11,27
"78","Angers","Ligue 1","Abdoulaye Bamba","CIV","DF",44,51,60,51,51,43,100,73,74,88,91,7,50,86,6,9,52,47,60,22,31,68
"80","Angers","Ligue 1","Nabil Bentaleb","ALG","MF",73,87,95,87,88,90,81,93,12,21,20,4,66,100,0,6,20,69,97,2,14,8
"82","Angers","Ligue 1","Miha Blažič","SVN","DF",52,72,93,71,72,71,89,89,22,93,80,7,46,90,3,12,67,63,80,14,31,76
"85","Angers","Ligue 1","Sofiane Boufal","MAR","FW,MF",24,34,60,34,34,36,55,37,41,87,20,6,38,63,15,11,57,39,41,41,41,82
"86","Angers","Ligue 1","Ousmane Camara","FRA","DF",14,21,48,20,21,26,32,43,32,79,91,1,18,55,9,2,4,22,31,29,15,33
"87","Angers","Ligue 1","Pierrick Capelle","FRA","MF,DF",58,53,42,53,53,52,55,64,82,54,52,8,27,68,7,12,64,41,61,14,23,49
"88","Angers","Ligue 1","Ilyes Cheti","ALG","DF",8,7,15,7,7,11,4,18,41,63,89,6,5,19,28,2,5,9,12,41,7,21
"89","Angers","Ligue 1","Lois Diony","FRA","FW",16,19,33,18,19,22,36,37,50,48,20,43,18,34,25,8,49,20,18,52,48,84
"90","Angers","Ligue 1","Souleyman Doumbia","CIV","DF,FW",55,68,79,68,69,71,68,81,32,67,20,3,43,93,1,7,36,62,77,19,35,82
"93","Angers","Ligue 1","Faouzi Ghoulam","ALG","DF",10,19,66,19,19,26,43,28,12,67,20,19,14,19,42,30,88,12,22,28,10,25
"95","Angers","Ligue 1","Cédric Hountondji","BEN","DF",98,99,98,99,99,99,89,99,12,92,20,6,77,100,0,10,84,90,100,3,27,93
"96","Angers","Ligue 1","Adrien Hunou","FRA","MF,FW",90,81,64,81,82,90,40,60,50,67,59,6,62,98,1,9,54,70,92,7,24,56
"99","Angers","Ligue 1","Jean Mattéo Bahoya","FRA","FW,MF",16,10,8,10,10,11,15,18,69,28,80,3,12,13,48,26,83,14,11,59,65,95
"101","Angers","Ligue 1","Farid El Melali","ALG","DF,FW",32,31,33,31,31,36,29,28,64,28,52,4,18,42,17,11,59,22,33,25,20,43
"104","Angers","Ligue 1","Ibrahima Niane","SEN","FW",32,46,71,46,46,55,36,48,12,75,20,9,35,71,9,11,58,33,59,10,10,19
"106","Angers","Ligue 1","Azzedine Ounahi","MAR","MF,FW",29,46,79,45,46,49,72,56,22,75,20,6,41,77,8,8,52,41,55,21,26,58
"108","Angers","Ligue 1","Halid Šabanović","BIH","DF",26,24,24,23,24,30,12,37,64,44,77,12,27,36,33,22,81,21,22,43,39,76
"109","Angers","Ligue 1","Amine Salama","FRA","FW,MF",58,50,36,50,50,46,51,48,88,63,45,1,32,75,6,8,50,50,56,34,41,85
"110","Angers","Ligue 1","Abdallah Sima","SEN","FW",90,67,40,67,67,64,51,64,93,59,20,4,58,94,3,11,61,59,80,11,26,60
"111","Angers","Ligue 1","Waniss Taibi","FRA","MF",19,6,1,5,6,6,2,18,78,17,93,1,9,13,42,6,43,5,7,50,28,59
"112","Angers","Ligue 1","Sada Thioub","SEN","DF,FW",62,40,20,40,41,39,40,37,95,24,83,6,46,71,15,16,73,38,52,22,25,56
"118","Arsenal","Premier League","Mohamed Elneny","EGY","MF",5,2,4,2,3,6,100,28,41,3,59,100,9,5,59,59,8,7,1,65,96,77
"119","Arsenal","Premier League","Rob Holding","ENG","DF",26,23,22,22,23,26,100,56,69,1,98,97,50,36,73,81,21,39,30,67,73,14
"121","Arsenal","Premier League","Gabriel Jesus","BRA","FW",62,78,87,75,78,80,76,73,22,44,20,95,96,63,97,95,68,92,62,95,91,67
"122","Arsenal","Premier League","Jorginho","ITA","MF",26,35,54,34,35,36,63,56,50,67,64,80,58,31,84,89,35,39,21,78,82,28
"123","Arsenal","Premier League","Jakub Kiwior","POL","DF",10,17,54,16,17,22,68,43,22,5,85,83,32,16,73,87,33,18,16,55,54,4
"125","Arsenal","Premier League","Martinelli","BRA","FW",98,96,83,94,96,99,59,84,22,79,20,95,99,83,99,94,72,99,88,97,89,56
"127","Arsenal","Premier League","Eddie Nketiah","ENG","FW",77,44,17,42,44,36,100,64,98,13,52,91,69,45,85,87,27,67,37,88,92,63
"129","Arsenal","Premier League","Thomas Partey","GHA","MF",90,90,79,87,90,90,81,92,50,44,20,96,99,75,99,97,93,98,81,97,90,62
"132","Arsenal","Premier League","Bukayo Saka","ENG","FW",100,100,96,99,100,100,81,95,12,87,20,94,100,93,99,91,2,100,92,98,87,3
"134","Arsenal","Premier League","Albert Sambi Lokonga","BEL","MF",8,6,13,6,6,11,68,28,41,6,87,99,12,8,59,59,7,11,2,68,95,72
"139","Arsenal","Premier League","Kieran Tierney","SCO","DF",66,32,9,31,32,26,63,43,98,21,85,99,48,28,78,82,21,42,28,76,80,24
"140","Arsenal","Premier League","Takehiro Tomiyasu","JPN","DF",46,27,12,26,27,26,47,43,93,17,45,98,50,31,78,86,30,41,23,79,87,47
"141","Arsenal","Premier League","Leandro Trossard","BEL","FW",44,38,31,36,38,39,15,28,78,75,20,83,75,42,89,95,64,55,29,85,91,58
"143","Arsenal","Premier League","Fabio Vieira","POR","MF,FW",49,20,4,19,20,15,43,18,97,21,91,92,41,13,82,96,65,35,12,82,98,87
"145","Arsenal","Premier League","Ben White","ENG","DF",100,99,89,98,99,100,72,92,22,75,20,94,100,86,100,95,96,99,89,98,89,51
"146","Arsenal","Premier League","Granit Xhaka","SUI","MF",99,98,91,98,99,100,72,96,12,3,20,95,100,86,99,93,60,99,89,97,87,20
"147","Arsenal","Premier League","Oleksandr Zinchenko","UKR","DF",66,79,85,77,79,84,63,64,12,33,20,95,97,75,96,92,41,94,70,95,90,60
"150","Aston Villa","Premier League","Ludwig Augustinsson","SWE","DF",3,1,7,1,1,6,0,18,22,28,80,74,5,1,63,93,93,6,1,65,100,100
"151","Aston Villa","Premier League","Leon Bailey","JAM","FW,MF",90,74,52,72,75,84,24,48,64,48,20,70,71,82,33,45,15,77,87,26,42,24
"152","Aston Villa","Premier League","Jan Bednarek","POL","DF",3,2,13,2,2,6,2,18,22,79,83,53,2,2,54,18,10,6,1,64,97,99
"154","Aston Villa","Premier League","Emi Buendía","ARG","MF,FW",100,88,58,85,88,87,55,64,82,72,20,70,89,84,78,67,68,87,90,55,56,65
"155","Aston Villa","Premier League","Diego Carlos","BRA","DF",3,7,66,6,7,11,100,28,12,72,85,29,9,8,54,35,23,10,3,66,88,96
"156","Aston Villa","Premier League","Matty Cash","POL","DF",62,69,70,67,69,68,81,81,56,48,34,61,73,77,54,53,33,74,73,64,59,72
"157","Aston Villa","Premier League","Calum Chambers","ENG","DF,MF",26,14,6,13,14,11,100,37,85,17,97,91,14,10,59,59,44,9,13,41,24,15
"158","Aston Villa","Premier League","Philippe Coutinho","BRA","MF,FW",44,32,20,31,32,30,29,28,88,54,45,34,30,25,59,59,43,27,21,61,62,68
"159","Aston Villa","Premier League","Leander Dendoncker","BEL","MF",44,28,15,27,28,30,40,37,88,13,73,67,41,31,66,68,61,30,28,54,53,55
"160","Aston Villa","Premier League","Lucas Digne","FRA","DF",70,59,42,57,59,64,40,70,78,21,59,61,62,68,42,47,26,56,69,22,34,16
"162","Aston Villa","Premier League","Danny Ings","ENG","FW",38,34,30,33,34,33,59,43,78,38,34,53,30,36,38,35,18,39,33,62,62,70
"164","Aston Villa","Premier League","Boubacar Kamara","FRA","MF",55,68,77,66,68,71,72,80,32,17,20,72,73,79,48,51,29,65,84,13,28,7
"165","Aston Villa","Premier League","Ezri Konsa","ENG","DF",100,100,99,100,100,100,100,100,12,1,20,70,94,95,73,63,16,95,99,33,50,2
"166","Aston Villa","Premier League","Douglas Luiz","BRA","MF",99,98,87,97,98,98,85,95,41,59,34,68,93,83,88,74,99,93,94,66,59,95
"169","Aston Villa","Premier League","John McGinn","SCO","MF,FW",93,94,87,92,94,93,85,93,41,72,34,69,85,80,76,65,61,90,90,65,59,85
"171","Aston Villa","Premier League","Álex Moreno","ESP","DF",41,53,70,51,53,52,63,52,50,95,20,85,64,28,88,88,95,55,50,63,60,68
"174","Aston Villa","Premier League","Robin Olsen","SWE","GK",4,11,70,10,11,11,100,37,22,99,100,29,14,22,38,8,4,10,22,26,1,1
"176","Aston Villa","Premier League","Jacob Ramsey","ENG","MF,FW",96,93,79,91,93,95,68,84,41,72,20,72,89,83,80,67,76,89,93,43,52,51
"181","Aston Villa","Premier League","Bertrand Traoré","BFA","FW,MF",12,8,9,8,9,6,2,18,64,75,77,78,22,2,76,99,99,16,3,75,99,100
"182","Aston Villa","Premier League","Ollie Watkins","ENG","FW",99,100,97,99,100,100,85,97,12,67,20,68,93,91,80,66,88,94,98,40,52,45
"184","Aston Villa","Premier League","Ashley Young","ENG","DF",73,77,70,74,77,77,68,81,56,67,80,75,71,75,54,54,31,68,82,21,39,16
"189","Atalanta","Serie A","Jeremie Boga","CIV","MF,FW",52,32,14,32,32,22,24,28,96,63,83,68,55,39,76,80,63,42,23,80,86,82
"193","Atalanta","Serie A","Merih Demiral","TUR","DF",70,60,44,59,60,52,89,75,91,54,70,85,66,63,63,60,22,69,48,85,81,72
"194","Atalanta","Serie A","Berat Djimsiti","ALB","DF",52,66,77,65,66,66,81,81,41,59,64,54,62,57,63,60,19,60,55,65,61,13
"195","Atalanta","Serie A","Éderson","BRA","MF",93,80,58,79,80,80,43,70,78,84,34,69,80,77,73,65,22,82,70,82,71,35
"198","Atalanta","Serie A","Rasmus Højlund","DEN","FW",81,67,45,67,67,66,36,52,85,82,52,73,90,73,89,83,83,77,59,86,79,70
"199","Atalanta","Serie A","Teun Koopmeiners","NED","MF",85,96,99,95,96,95,92,98,12,98,20,75,96,84,92,80,93,92,82,89,75,53
"200","Atalanta","Serie A","Ademola Lookman","NGA","FW,MF",77,66,47,65,66,68,32,43,78,67,34,70,84,60,88,82,80,81,55,90,86,89
"201","Atalanta","Serie A","José Luis Palomino","ARG","DF",29,30,37,31,31,33,55,56,64,33,45,80,67,42,85,93,92,49,26,82,90,88
"202","Atalanta","Serie A","Ruslan Malinovskyi","UKR","MF,FW",29,22,18,22,22,22,19,18,78,48,34,74,30,22,63,64,37,24,17,65,69,39
"205","Atalanta","Serie A","Luis Muriel","COL","FW,MF",70,43,19,43,43,39,13,18,96,59,45,66,55,42,73,71,46,49,31,79,78,62
"207","Atalanta","Serie A","Joakim Mæhle","DEN","DF,MF",90,79,60,79,80,80,63,73,74,38,45,69,82,80,70,63,17,81,76,74,64,12
"208","Atalanta","Serie A","Caleb Okoli","ITA","DF",32,37,48,37,38,36,81,64,64,59,96,75,48,25,80,82,72,43,23,81,84,78
"210","Atalanta","Serie A","Mario Pašalić","CRO","MF,FW",81,66,44,66,66,77,15,28,69,72,45,73,77,63,82,75,53,73,58,83,75,55
"211","Atalanta","Serie A","Marten de Roon","NED","MF",93,97,97,98,97,98,89,99,12,7,20,76,96,89,89,76,65,93,86,87,72,18
"213","Atalanta","Serie A","Matteo Ruggeri","ITA","DF,MF",29,34,44,34,34,33,100,64,64,24,89,74,55,36,78,81,69,46,24,82,88,85
"214","Atalanta","Serie A","Giorgio Scalvini","ITA","DF",81,83,75,83,83,90,55,81,32,38,59,76,92,84,85,74,50,84,76,79,68,18
"215","Atalanta","Serie A","Brandon Soppy","FRA","DF",29,26,25,26,26,33,12,28,64,38,95,66,32,25,63,64,35,33,11,81,92,92
"216","Atalanta","Serie A","Marco Sportiello","ITA","GK",26,50,100,50,50,49,100,77,12,100,97,65,58,52,63,61,27,48,45,58,57,14
"219","Atalanta","Serie A","Duván Zapata","COL","FW",58,55,45,55,55,58,32,52,74,67,20,74,53,55,48,50,13,50,49,53,54,9
"220","Atalanta","Serie A","Davide Zappacosta","ITA","DF",44,55,68,54,55,61,40,64,32,91,34,78,75,55,84,80,68,59,42,80,75,55
"221","Atalanta","Serie A","Nadir Zortea","ITA","DF,MF",14,7,6,8,8,6,55,18,69,33,83,95,22,8,70,94,89,11,3,67,90,84
"222","Athletic Club","La Liga","Julen Agirrezabala","ESP","GK",12,27,96,27,27,30,100,60,12,98,98,14,18,16,54,50,36,29,17,73,77,52
"223","Athletic Club","La Liga","Yeray Álvarez","ESP","DF",70,85,95,84,85,87,85,92,12,10,45,65,80,79,70,63,53,82,67,84,72,18
"224","Athletic Club","La Liga","Mikel Balenziaga","ESP","DF",3,2,19,2,3,6,22,18,22,59,99,29,5,8,48,5,3,1,2,52,26,4
"225","Athletic Club","La Liga","Yuri Berchiche","ESP","DF",70,84,95,84,84,84,89,95,22,79,34,35,62,80,19,39,5,82,69,82,70,13
"226","Athletic Club","La Liga","Álex Berenguer","ESP","FW",98,83,58,82,83,84,51,70,78,67,34,51,76,82,48,52,24,82,65,86,75,31
"228","Athletic Club","La Liga","Ander Capa","ESP","DF",10,2,1,2,2,6,8,18,56,5,99,59,9,1,66,98,98,5,1,63,93,84
"230","Athletic Club","La Liga","Dani García","ESP","MF",58,59,50,58,59,64,47,56,64,21,70,60,66,52,76,70,70,64,49,79,73,35
"231","Athletic Club","La Liga","Raúl García","ESP","FW,MF",93,38,8,38,38,26,25,28,100,38,52,50,38,36,54,51,37,44,30,75,76,45
"233","Athletic Club","La Liga","Gorka Guruzeta","ESP","FW",73,53,30,52,53,58,19,37,88,44,77,46,46,42,59,59,42,55,35,82,78,54
"234","Athletic Club","La Liga","Ander Herrera","ESP","MF",32,26,22,25,26,33,6,18,69,48,64,65,30,28,54,49,36,30,17,75,82,62
"236","Athletic Club","La Liga","Iñigo Lekue","ESP","DF",44,52,63,52,53,52,68,64,56,82,83,54,69,42,86,85,93,67,36,89,89,87
"237","Athletic Club","La Liga","Óscar de Marcos","ESP","DF",98,95,81,94,95,95,76,92,50,67,20,51,89,83,80,67,84,92,69,93,82,85
"240","Athletic Club","La Liga","Iker Muniain","ESP","MF,FW",73,65,48,64,65,66,47,52,78,54,45,60,75,50,86,80,91,72,45,89,83,75
"242","Athletic Club","La Liga","Aitor Paredes","ESP","DF",29,31,37,31,31,33,94,60,64,5,97,49,27,48,19,14,5,41,28,74,76,47
"243","Athletic Club","La Liga","Oihan Sancet","ESP","MF",96,89,70,88,89,95,40,56,41,93,20,58,86,75,84,71,89,87,71,88,76,31
"246","Athletic Club","La Liga","Mikel Vesga","ESP","MF",96,90,73,90,91,87,85,92,69,54,20,53,77,79,63,60,37,88,69,89,77,43
"247","Athletic Club","La Liga","Asier Villalibre","ESP","FW",5,2,2,2,2,6,4,18,41,7,89,70,9,1,66,99,99,8,0,69,100,100
"248","Athletic Club","La Liga","Daniel Vivian","ESP","DF",70,83,93,83,84,81,100,96,32,10,59,52,71,63,73,64,61,81,61,87,76,36
"249","Athletic Club","La Liga","Iñaki Williams","GHA","FW",96,95,85,95,95,98,68,80,22,67,20,53,85,84,66,61,39,91,71,92,80,67
"250","Athletic Club","La Liga","Nico Williams","ESP","FW",96,92,77,91,92,95,59,67,41,84,20,59,90,79,87,75,97,91,69,91,81,70
"251","Athletic Club","La Liga","Oier Zarraga","ESP","MF",58,34,13,34,34,26,22,18,97,54,85,46,12,34,19,16,5,33,17,76,79,55
"252","Atlético Madrid","La Liga","Pablo Barrios","ESP","MF",44,26,12,25,26,22,6,18,93,59,64,92,35,19,73,79,27,35,22,72,78,40
"254","Atlético Madrid","La Liga","Yannick Carrasco","BEL","DF,MF",96,84,63,84,84,84,47,60,74,93,34,91,91,68,92,83,12,92,81,88,77,20
"256","Atlético Madrid","La Liga","Ángel Correa","ARG","FW,MF",93,54,22,54,54,46,19,28,99,67,34,88,71,39,88,87,39,74,49,89,88,75
"257","Atlético Madrid","La Liga","Matheus Cunha","BRA","FW,MF",19,15,14,15,15,11,19,18,74,75,45,81,32,16,73,89,49,23,14,68,81,49
"258","Atlético Madrid","La Liga","Rodrigo De Paul","ARG","MF",77,73,60,73,73,80,36,52,56,75,52,91,89,55,94,89,44,82,63,87,79,33
"261","Atlético Madrid","La Liga","Felipe","BRA","DF",3,6,61,6,6,11,100,37,12,17,85,3,5,8,48,18,2,6,4,56,57,13
"262","Atlético Madrid","La Liga","João Félix","POR","FW,MF",26,26,30,26,26,30,36,28,64,33,34,83,35,22,70,75,18,26,22,59,59,11
"265","Atlético Madrid","La Liga","Ivo Grbić","CRO","GK",19,34,81,34,34,36,100,67,22,17,98,90,69,34,89,97,84,46,36,70,71,24
"266","Atlético Madrid","La Liga","Antoine Griezmann","FRA","FW,MF",99,96,79,95,96,93,85,93,64,82,20,91,98,73,98,91,65,98,83,96,86,92
"267","Atlético Madrid","La Liga","Mario Hermoso","ESP","DF",58,76,91,76,76,77,89,90,22,21,83,95,95,48,98,96,95,90,65,93,87,79
"269","Atlético Madrid","La Liga","Koke","ESP","MF",85,89,83,88,89,91,68,73,32,72,34,95,95,60,97,91,65,94,71,94,86,79
"270","Atlético Madrid","La Liga","Geoffrey Kondogbia","CTA","MF",44,40,36,40,41,39,68,56,78,38,89,92,46,31,73,72,13,41,33,66,65,14
"272","Atlético Madrid","La Liga","Thomas Lemar","FRA","MF",62,50,33,50,50,61,7,18,74,67,45,90,71,25,92,94,76,59,29,87,87,73
"273","Atlético Madrid","La Liga","Marcos Llorente","ESP","MF,DF",49,66,83,65,66,71,59,73,12,84,34,90,73,31,92,89,41,80,43,93,91,87
"276","Atlético Madrid","La Liga","José María Giménez","URU","DF",70,88,99,87,88,84,100,97,22,96,52,94,96,57,97,93,80,95,74,94,86,83
"278","Atlético Madrid","La Liga","Memphis","NED","FW",12,10,14,10,10,15,9,18,50,28,45,100,30,2,82,100,99,15,3,74,97,92
"281","Atlético Madrid","La Liga","Álvaro Morata","ESP","FW",96,72,42,71,72,77,19,43,85,75,34,91,89,25,97,96,93,84,53,92,87,78
"284","Atlético Madrid","La Liga","Saúl Ñíguez","ESP","MF,DF",77,41,14,40,41,39,32,48,98,17,70,96,69,34,89,94,70,49,42,65,63,11
"286","Atlético Madrid","La Liga","Sergio Reguilón","ESP","DF",16,8,4,8,8,6,22,18,74,28,83,58,12,2,66,86,40,15,4,72,98,93
"288","Atlético Madrid","La Liga","Axel Witsel","BEL","DF,MF",85,81,66,80,81,80,89,92,69,17,59,91,98,71,97,94,88,93,74,93,85,71
"289","Augsburg","Bundesliga","Maximilian Bauer","GER","DF",66,70,66,75,70,68,76,86,64,67,70,35,67,92,8,22,32,58,89,4,13,41
"290","Augsburg","Bundesliga","Julian Baumgartlinger","AUT","MF",32,22,15,24,22,15,100,43,88,54,85,12,35,48,28,17,30,24,27,39,32,80
"292","Augsburg","Bundesliga","Mergim Berisha","GER","FW",52,65,75,69,65,68,63,67,32,38,20,45,66,82,22,36,73,61,72,26,39,97
"293","Augsburg","Bundesliga","Daniel Caligiuri","ITA","DF,MF",24,11,3,12,11,11,36,28,82,13,96,18,9,28,22,2,2,4,20,21,1,2
"297","Augsburg","Bundesliga","Niklas Dorsch","GER","MF",19,19,26,21,19,22,40,43,56,33,34,42,14,31,25,8,15,12,28,20,3,12
"298","Augsburg","Bundesliga","Dion Drena Beljo","CRO","FW",38,46,58,49,46,58,22,37,22,24,34,31,53,73,19,24,43,36,62,9,9,31
"300","Augsburg","Bundesliga","Ohis Felix Uduokhai","GER","DF",41,58,81,61,58,58,85,80,32,67,34,23,53,73,19,30,57,48,63,21,31,89
