"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"690","Crystal Palace","Premier League","James Tomkins","ENG","DF",19,20,60,53,17,6,17,20,8,18,100,10,10,20,16,18,11,13,28,13,16,20,9
"691","Crystal Palace","Premier League","Joel Ward","ENG","DF",79,82,87,86,78,73,54,82,36,50,91,22,11,68,54,57,63,56,42,68,57,74,60
"693","Crystal Palace","Premier League","Wilfried Zaha","CIV","FW,MF",80,67,36,44,59,94,98,67,99,98,36,99,63,75,84,79,96,89,99,99,100,77,98
"695","Cádiz","La Liga","Rubén Alcaraz","ESP","MF",74,76,75,72,85,63,56,76,62,66,65,63,50,74,72,68,71,75,59,79,90,74,42
"696","Cádiz","La Liga","Iván Alejo","ESP","MF,FW",50,44,51,50,35,72,56,44,81,66,12,86,76,46,57,58,87,80,52,82,81,44,83
"697","Cádiz","La Liga","José Antonio","ESP","MF,DF",4,3,6,3,2,7,6,3,22,18,12,22,21,4,2,5,15,18,28,13,16,3,13
"698","Cádiz","La Liga","Santiago Arzamendia","PAR","DF,MF",24,26,51,42,28,33,22,26,29,26,22,42,92,23,22,26,34,42,52,32,33,21,44
"699","Cádiz","La Liga","Blanco","ESP","MF",11,10,19,15,14,11,6,10,8,7,7,22,100,9,7,7,11,13,28,13,27,10,13
"700","Cádiz","La Liga","Theo Bongonda","COD","MF,FW",69,52,44,48,47,81,81,52,96,95,38,96,53,55,74,76,93,91,90,90,85,53,82
"702","Cádiz","La Liga","Isaac Carcelen","ESP","DF",76,72,87,80,72,64,36,72,56,68,83,50,26,57,54,62,73,62,59,56,74,57,66
"703","Cádiz","La Liga","Víctor Chust","ESP","DF",40,41,77,70,42,10,24,41,18,18,22,29,92,35,38,41,23,18,42,13,16,38,13
"704","Cádiz","La Liga","Mamady Diarra","MLI","MF,DF",6,3,6,7,5,5,17,3,18,18,22,29,92,4,4,6,20,7,42,9,16,2,5
"706","Cádiz","La Liga","Gonzalo Escalante","ARG","MF",43,42,66,54,50,43,57,42,39,50,87,29,16,35,31,34,20,36,28,46,50,36,32
"707","Cádiz","La Liga","Alfonso Espino","URU","DF",97,93,88,90,89,89,69,93,84,86,55,85,58,80,74,79,86,81,75,91,81,78,88
"708","Cádiz","La Liga","Fali","ESP","DF,MF",64,53,86,78,55,21,44,53,26,26,36,29,46,49,50,60,37,23,28,30,16,47,30
"709","Cádiz","La Liga","Álex Fernández","ESP","MF,FW",60,57,63,58,68,59,60,57,41,42,49,42,38,57,51,50,56,67,59,56,84,62,47
"710","Cádiz","La Liga","Carlos García","ESP","DF",3,4,13,11,7,3,10,4,8,18,100,10,10,4,3,4,6,7,28,4,8,4,5
"712","Cádiz","La Liga","Álvaro Giménez","ESP","FW",2,0,6,1,1,4,6,0,8,7,7,22,100,0,0,0,6,7,28,9,8,1,13
"713","Cádiz","La Liga","Sergi Guardiola","ESP","FW",46,33,29,23,32,60,73,33,62,66,65,63,50,34,29,24,42,42,69,71,82,37,64
"714","Cádiz","La Liga","Luis Hernández","ESP","DF",97,89,94,94,83,64,42,89,18,32,100,10,10,78,69,76,37,30,28,23,22,79,27
"715","Cádiz","La Liga","Jeremías Ledesma","ARG","GK",96,72,99,99,4,4,17,72,22,37,100,10,10,65,75,88,6,13,28,9,8,44,5
"716","Cádiz","La Liga","Anthony Lozano","HON","FW",54,38,48,32,42,57,76,38,80,76,31,84,74,41,42,38,56,56,75,93,93,45,63
"717","Cádiz","La Liga","Awer Mabil","AUS","MF,FW",11,10,13,10,11,20,14,10,22,26,65,29,74,10,9,12,26,18,28,30,16,11,35
"718","Cádiz","La Liga","José Mari","ESP","MF",20,23,41,40,30,17,14,23,29,32,65,36,74,21,22,23,23,13,28,26,47,22,19
"719","Cádiz","La Liga","Roger Martí","ESP","FW",28,19,29,16,22,36,53,19,32,42,88,22,12,19,15,10,31,30,59,70,43,20,51
"720","Cádiz","La Liga","Mamadou Mbaye","SEN","DF",33,32,76,64,30,11,36,32,26,42,100,10,10,27,25,23,15,18,28,26,16,28,9
"723","Cádiz","La Liga","Álvaro Negredo","ESP","FW",33,23,33,17,28,39,65,23,39,42,65,42,46,20,16,14,23,30,28,56,47,25,44
"724","Cádiz","La Liga","Brian Ocampo","URU","MF,FW",46,39,36,42,37,64,51,39,81,79,40,79,46,44,53,59,79,77,82,75,88,42,75
"725","Cádiz","La Liga","Raúl Parra","ESP","DF",18,16,43,32,19,12,6,16,8,7,7,22,100,11,8,10,6,18,28,20,8,11,19
"726","Cádiz","La Liga","Alberto Perea","ESP","MF",4,3,6,7,3,6,6,3,29,26,22,36,74,1,2,1,6,7,28,4,16,3,13
"727","Cádiz","La Liga","Lucas Pérez","ESP","FW",29,25,16,18,27,49,46,25,39,37,36,50,88,24,24,25,34,33,59,40,50,26,46
"728","Cádiz","La Liga","Chris Ramos","ESP","FW",32,25,49,26,22,49,84,25,59,54,27,65,74,19,17,16,37,23,65,67,27,25,53
"729","Cádiz","La Liga","Fede San Emeterio","ESP","MF",66,56,75,66,68,38,30,56,26,26,36,29,46,48,38,36,11,36,42,35,50,49,30
"730","Cádiz","La Liga","Rubén Sobrino","ESP","MF,FW",83,61,62,62,59,79,89,61,91,88,32,94,74,60,69,68,81,87,84,92,94,59,75
"731","Cádiz","La Liga","Joseba Zaldúa","ESP","DF",29,30,61,50,29,39,19,30,39,32,16,46,74,22,25,31,46,52,52,30,27,24,42
"732","Dortmund","Bundesliga","Karim Adeyemi","GER","FW,MF",54,49,34,36,42,83,87,49,96,93,26,97,75,54,66,65,85,80,93,86,86,52,88
"733","Dortmund","Bundesliga","Jude Bellingham","ENG","MF",91,95,68,75,97,95,95,95,99,100,74,96,23,96,97,96,98,92,94,95,99,97,89
"734","Dortmund","Bundesliga","Julian Brandt","GER","MF,FW",83,87,40,57,80,99,91,87,94,95,65,94,53,87,87,82,92,88,95,90,93,90,97
"735","Dortmund","Bundesliga","Jamie Bynoe-Gittens","ENG","FW,MF",26,23,21,22,20,50,72,23,86,80,27,89,74,27,38,41,64,52,91,63,38,27,55
"736","Dortmund","Bundesliga","Emre Can","GER","MF",70,84,80,81,89,60,50,84,63,68,67,53,23,85,85,82,74,73,42,50,59,85,33
"738","Dortmund","Bundesliga","Mahmoud Dahoud","GER","MF",19,27,30,34,36,29,14,27,26,32,80,29,46,24,24,23,26,33,42,26,33,29,19
"739","Dortmund","Bundesliga","Julien Duranville","BEL","MF",3,3,6,3,2,11,6,3,18,32,100,10,10,4,9,8,23,7,28,9,8,4,19
"740","Dortmund","Bundesliga","Raphaël Guerreiro","POR","DF,MF",80,94,71,80,93,97,88,94,82,88,75,81,47,93,91,94,96,95,91,73,76,94,93
"741","Dortmund","Bundesliga","Sébastien Haller","CIV","FW",49,34,30,24,36,60,88,34,51,57,73,53,55,31,25,23,42,23,65,56,70,38,69
"742","Dortmund","Bundesliga","Thorgan Hazard","BEL","FW,DF",23,32,36,38,30,55,50,32,49,32,10,60,88,31,30,35,60,47,69,30,8,30,61
"743","Dortmund","Bundesliga","Mats Hummels","GER","DF",73,93,93,95,94,39,67,93,39,46,80,42,46,94,94,97,60,62,28,20,50,93,24
"744","Dortmund","Bundesliga","Gregor Kobel","SUI","GK",84,69,99,98,4,2,6,70,8,18,100,10,10,71,63,63,6,7,28,9,8,64,5
"745","Dortmund","Bundesliga","Donyell Malen","NED","FW",65,58,33,34,53,91,94,58,98,98,46,98,56,68,76,79,96,85,98,82,95,70,95
"746","Dortmund","Bundesliga","Thomas Meunier","BEL","DF",27,40,53,51,39,53,36,40,39,37,36,42,46,38,33,34,37,36,42,32,38,39,59
"748","Dortmund","Bundesliga","Anthony Modeste","FRA","FW",35,21,50,24,23,38,70,21,22,7,7,42,100,17,12,9,20,13,52,56,54,21,54
"749","Dortmund","Bundesliga","Youssoufa Moukoko","GER","FW",47,29,10,18,28,58,86,29,81,76,29,88,84,31,32,29,37,36,72,75,79,29,67
"750","Dortmund","Bundesliga","Justin Njinmah","GER","FW",2,0,6,1,1,4,10,0,8,7,7,22,100,1,1,1,11,7,28,4,22,1,19
"751","Dortmund","Bundesliga","Salih Özcan","TUR","MF",60,72,63,70,85,45,27,72,43,46,65,46,50,71,56,51,29,45,28,56,80,73,45
"753","Dortmund","Bundesliga","Marco Pašalić","CRO","MF",1,1,6,3,2,5,6,1,8,18,100,10,10,2,3,6,15,13,28,9,16,2,13
"754","Dortmund","Bundesliga","Felix Passlack","GER","DF",6,7,13,11,10,8,10,7,8,18,100,10,10,6,3,5,11,13,28,9,16,7,16
"755","Dortmund","Bundesliga","Marco Reus","GER","MF,FW",53,52,41,46,54,75,86,52,63,57,26,70,76,52,49,50,73,72,84,74,72,56,74
"756","Dortmund","Bundesliga","Gio Reyna","USA","FW,MF",28,34,24,25,33,63,78,34,60,54,24,68,76,38,41,43,63,64,75,46,70,40,65
"757","Dortmund","Bundesliga","Tom Rothe","GER","DF",3,3,16,8,4,6,10,3,8,18,100,10,10,3,1,2,6,7,28,4,8,2,13
"758","Dortmund","Bundesliga","Julian Ryerson","NOR","DF",55,72,63,72,73,76,38,72,82,76,26,84,62,70,68,71,88,73,72,56,76,71,71
"759","Dortmund","Bundesliga","Nico Schlotterbeck","GER","DF",79,96,94,96,96,44,57,96,55,63,76,42,16,96,93,97,78,86,42,48,50,97,35
"760","Dortmund","Bundesliga","Niklas Süle","GER","DF",76,94,92,94,94,62,75,94,39,57,93,22,11,96,92,94,77,84,42,38,50,97,65
"761","Dortmund","Bundesliga","Marius Wolf","GER","DF",60,75,65,76,71,85,81,75,88,93,71,84,36,74,71,75,90,90,87,71,62,77,91
"762","Eint Frankfurt","Bundesliga","Paxten Aaronson","USA","MF,DF",11,12,13,7,14,28,48,12,29,32,65,36,74,12,12,13,34,18,52,23,22,12,36
"763","Eint Frankfurt","Bundesliga","Lucas Alario","ARG","FW,MF",19,15,38,16,16,31,59,15,34,42,81,36,40,11,9,11,15,33,42,20,50,16,38
"764","Eint Frankfurt","Bundesliga","Faride Alidou","GER","DF,MF",12,16,16,17,18,27,22,16,39,26,10,57,95,13,15,18,34,26,65,23,38,13,46
"765","Eint Frankfurt","Bundesliga","Rafael Borré","COL","MF,FW",44,44,36,31,45,69,87,44,71,74,65,73,55,46,43,37,66,52,89,87,67,49,82
"766","Eint Frankfurt","Bundesliga","Aurélio Buta","POR","DF",51,61,63,60,60,80,79,61,69,60,22,68,46,52,56,53,82,64,90,65,54,55,86
"767","Eint Frankfurt","Bundesliga","Timothy Chandler","USA","DF",8,9,13,12,12,15,14,9,22,18,12,36,94,7,5,7,15,7,42,13,8,8,24
"768","Eint Frankfurt","Bundesliga","Junior Dina Ebimbe","FRA","DF,MF",44,50,60,58,56,56,73,50,80,76,31,84,74,45,50,54,77,68,78,71,70,46,57
"770","Eint Frankfurt","Bundesliga","Mario Götze","GER","MF",92,91,47,63,91,98,90,91,93,86,22,97,88,89,80,76,89,92,89,93,97,94,97
"772","Eint Frankfurt","Bundesliga","Kristijan Jakić","CRO","DF,MF",57,70,82,83,73,46,42,70,49,54,69,53,61,65,51,52,51,52,52,46,43,66,40
"773","Eint Frankfurt","Bundesliga","Daichi Kamada","JPN","MF",79,83,52,62,91,85,88,83,74,72,39,81,77,83,78,75,84,85,87,77,84,86,83
"774","Eint Frankfurt","Bundesliga","Ansgar Knauff","GER","DF",51,59,58,68,58,70,76,59,89,83,24,93,77,51,62,70,84,73,89,76,54,49,73
"775","Eint Frankfurt","Bundesliga","Randal Kolo Muani","FRA","FW",89,67,44,30,63,95,100,67,100,99,45,100,50,69,81,81,98,94,100,100,99,77,98
"776","Eint Frankfurt","Bundesliga","Filip Kostić","SRB","DF,MF",7,6,6,9,7,13,17,6,18,18,22,22,34,6,7,10,20,13,42,4,16,6,16
"777","Eint Frankfurt","Bundesliga","Christopher Lenz","GER","DF",51,63,70,67,64,73,51,63,47,63,91,29,12,55,53,59,71,71,59,40,38,56,70
"778","Eint Frankfurt","Bundesliga","Jesper Lindstrøm","DEN","MF,FW",64,55,36,46,52,83,93,55,95,89,18,98,88,53,62,64,92,87,98,96,92,55,89
"779","Eint Frankfurt","Bundesliga","Philipp Max","GER","DF",31,42,48,46,41,61,46,42,32,32,43,36,53,38,33,34,48,36,28,32,27,40,62
"780","Eint Frankfurt","Bundesliga","Obite N'Dicka","FRA","DF",91,96,95,97,94,39,60,96,39,46,80,36,26,95,90,91,51,54,52,56,38,95,22
"781","Eint Frankfurt","Bundesliga","Luca Pellegrini","ITA","DF",26,40,34,50,41,55,34,40,64,63,41,68,60,35,33,39,56,60,52,30,38,35,48
"783","Eint Frankfurt","Bundesliga","Sebastian Rode","GER","MF",55,65,57,57,80,57,54,65,47,50,65,42,25,61,54,60,63,58,59,43,43,69,56
"784","Eint Frankfurt","Bundesliga","Hrvoje Smolčić","CRO","DF",23,35,78,65,36,9,19,35,13,26,100,10,10,34,32,36,6,23,28,17,16,33,9
"785","Eint Frankfurt","Bundesliga","Djibril Sow","SUI","MF",90,91,69,77,97,71,60,91,58,63,67,50,25,91,85,84,75,84,65,67,72,92,49
"786","Eint Frankfurt","Bundesliga","Almamy Touré","MLI","DF",21,25,40,47,30,16,22,25,34,46,91,29,21,24,20,21,15,18,52,20,8,25,27
"788","Eint Frankfurt","Bundesliga","Tuta","BRA","DF",91,97,96,97,96,44,63,97,56,63,71,60,58,96,94,94,63,62,52,71,65,95,38
"790","Elche","La Liga","Alejandro Alfaro","ESP","MF",2,0,6,1,1,3,6,0,8,7,7,22,100,0,0,0,6,13,28,4,8,0,5
"792","Elche","La Liga","Pedro Bigas","ESP","DF",73,77,92,91,75,31,51,77,34,42,81,36,40,75,75,81,56,52,28,46,33,74,16
"793","Elche","La Liga","Lautaro Blanco","ARG","DF,MF",34,35,34,45,30,58,24,35,59,57,37,70,85,34,41,45,74,60,42,43,27,32,69
"794","Elche","La Liga","Lucas Boyé","ARG","FW",83,69,69,45,75,88,96,69,98,100,77,97,39,73,69,62,88,79,94,100,100,75,92
"795","Elche","La Liga","Carmona","ESP","MF,DF",27,24,48,40,22,39,42,24,56,57,48,57,46,23,26,25,34,45,72,43,33,19,47
"796","Elche","La Liga","Pape Cheikh Diop","SEN","MF",4,2,10,5,5,2,6,2,8,7,7,22,100,2,2,2,6,7,28,4,16,2,5
"797","Elche","La Liga","Carlos Clerc","ESP","DF,MF",89,89,89,88,85,82,60,89,86,87,51,85,48,83,82,80,86,87,52,73,57,83,79
"798","Elche","La Liga","Álex Collado","ESP","MF",32,36,33,32,38,58,51,36,70,72,54,75,65,40,49,49,64,69,72,52,54,41,58
"799","Elche","La Liga","John Donald","ESP","MF,DF",41,39,66,63,43,17,24,39,22,32,91,22,21,39,36,34,20,18,28,46,22,37,9
"800","Elche","La Liga","Nicolás Ezequiel Fernández","ARG","MF,DF",25,27,26,33,27,48,40,27,43,32,12,53,85,29,34,40,60,45,65,38,59,27,63
"802","Elche","La Liga","Fidel","ESP","MF,FW",62,66,46,57,72,79,75,66,92,91,43,93,59,74,74,78,86,82,75,85,84,75,77
"803","Elche","La Liga","Diego González","ESP","DF",40,38,79,73,30,12,30,38,18,18,22,29,92,35,35,40,11,7,28,13,27,34,13
"804","Elche","La Liga","Gerard Gumbau","ESP","MF",90,87,74,74,91,86,61,87,56,50,24,60,58,82,72,70,51,64,52,71,62,84,61
"805","Elche","La Liga","Raúl Guti","ESP","MF",46,41,36,49,48,46,50,41,45,42,31,57,88,42,34,30,23,52,52,48,76,43,38
"806","Elche","La Liga","Josan","ESP","DF,MF",41,44,47,60,43,53,44,44,72,81,82,60,22,47,52,55,73,58,78,67,79,44,63
"807","Elche","La Liga","Pol Lirola","ESP","DF",29,33,46,50,31,45,30,33,55,50,28,63,77,32,35,41,60,62,42,32,38,28,53
"808","Elche","La Liga","Lisandro Magallán","ARG","DF",36,33,77,67,27,12,30,33,8,18,100,10,10,30,31,27,11,18,28,13,8,28,5
"809","Elche","La Liga","Roger Martí","ESP","FW",30,21,29,19,24,40,51,21,32,32,43,42,84,23,20,18,34,33,72,68,57,23,61
"810","Elche","La Liga","Omar Mascarell","ESP","MF,DF",85,84,86,85,90,51,22,84,72,81,82,63,26,81,87,82,67,67,42,48,59,82,24
"811","Elche","La Liga","Pere Milla","ESP","FW,MF",68,56,55,54,65,67,85,56,80,76,31,85,76,56,49,49,63,75,69,88,81,59,75
"812","Elche","La Liga","Johan Mojica","COL","DF,MF",16,20,36,34,19,33,19,20,36,37,47,42,57,21,21,26,48,47,52,23,33,18,32
"813","Elche","La Liga","Tete Morente","ESP","MF,DF",72,66,64,59,57,91,84,66,92,91,41,95,80,68,71,71,88,85,87,83,79,68,95
"814","Elche","La Liga","Randy Ntekja","FRA","FW",29,23,41,25,26,41,63,23,59,63,65,63,59,25,24,23,42,30,65,60,70,24,54
"815","Elche","La Liga","Helibelton Palacios","COL","DF",70,66,80,80,69,46,32,66,67,70,65,63,37,59,56,66,65,60,28,38,47,56,46
"817","Elche","La Liga","Ezequiel Ponce","ARG","FW",46,34,46,27,42,51,79,34,51,42,17,60,82,37,30,24,39,26,69,75,89,40,61
"818","Elche","La Liga","Domingos Quina","POR","MF",17,19,24,26,24,28,19,19,39,42,65,36,26,23,31,31,44,39,59,30,57,20,25
"819","Elche","La Liga","Enzo Roco","CHI","DF",60,56,86,82,54,21,44,56,26,32,80,29,46,52,49,51,26,33,28,30,8,50,13
"821","Elche","La Liga","Axel Werner","ARG","GK",12,9,72,37,1,2,6,9,8,18,100,10,10,9,8,11,6,7,28,4,8,8,5
"822","Empoli","Serie A","Jean-Daniel Akpa-Akpro","CIV","MF,FW",50,45,50,54,53,48,54,45,82,89,77,75,28,41,42,40,54,68,75,63,65,40,53
"823","Empoli","Serie A","Nedim Bajrami","ALB","MF,FW",39,37,10,35,36,62,63,37,70,63,25,79,85,38,47,45,61,67,82,67,74,38,60
"824","Empoli","Serie A","Tommaso Baldanzi","ITA","MF",66,57,34,46,61,78,78,57,88,84,30,91,74,62,70,72,89,93,87,78,70,63,80
"825","Empoli","Serie A","Filippo Bandinelli","ITA","MF",77,76,75,71,79,82,65,76,79,72,25,83,74,75,74,70,79,87,75,86,89,78,78
"826","Empoli","Serie A","Liberato Cacace","NZL","DF",24,36,55,52,39,43,34,36,51,50,45,53,55,31,37,44,60,54,65,20,43,33,49
"827","Empoli","Serie A","Nicolò Cambiaghi","ITA","FW,MF",48,45,30,40,42,73,82,45,83,79,30,81,41,50,69,63,92,75,92,86,78,49,80
"828","Empoli","Serie A","Francesco Caputo","ITA","FW",65,38,33,24,39,66,94,38,43,18,7,57,92,40,34,30,51,36,75,87,84,46,88
"829","Empoli","Serie A","Koni De Winter","BEL","DF",42,46,87,79,39,5,6,46,13,18,65,22,74,45,46,45,15,13,28,32,27,44,5
"831","Empoli","Serie A","Mattia Destro","ITA","FW,MF",26,15,24,11,17,33,61,15,34,37,65,42,74,15,11,10,23,13,59,46,38,17,42
"832","Empoli","Serie A","Tyronne Ebuehi","NGA","DF",71,69,85,82,64,61,64,69,64,63,41,60,35,63,63,65,71,67,69,52,67,63,57
"833","Empoli","Serie A","Emmanuel Ekong","SWE","FW,MF",2,1,6,2,2,3,6,1,8,7,7,22,100,0,3,5,11,13,28,4,8,1,9
"834","Empoli","Serie A","Jacopo Fazzini","ITA","MF",33,36,48,50,38,46,44,36,60,57,32,68,76,35,35,32,39,52,28,63,82,35,55
"835","Empoli","Serie A","Alberto Grassi","ITA","MF",46,50,78,66,58,36,38,50,34,37,65,42,74,39,35,31,23,33,28,56,57,44,30
"836","Empoli","Serie A","Nicolas Haas","SUI","MF",47,42,66,59,43,45,46,42,29,18,8,42,92,37,28,30,39,52,52,54,54,40,45
"837","Empoli","Serie A","Liam Henderson","SCO","MF",41,44,44,49,54,49,42,44,26,7,7,46,100,45,40,39,39,39,28,40,43,48,55
"838","Empoli","Serie A","Ardian Ismajli","ALB","DF",75,77,96,93,69,15,50,77,13,26,100,10,10,73,70,71,39,18,28,17,22,74,5
"839","Empoli","Serie A","Sam Lammers","NED","FW",38,30,36,24,30,57,80,30,60,60,44,68,76,29,31,26,37,50,72,81,67,35,70
"840","Empoli","Serie A","Sebastiano Luperto","ITA","DF",97,93,98,98,85,27,57,93,13,26,100,10,10,89,83,85,46,33,42,23,27,89,16
"841","Empoli","Serie A","Răzvan Marin","ROU","MF",87,91,78,80,93,86,46,91,77,83,73,75,42,89,88,85,75,87,59,67,81,90,47
"842","Empoli","Serie A","Herculano Nabian","POR","MF",0,0,6,1,1,2,6,0,8,7,7,22,100,0,1,2,6,7,28,4,8,0,5
"843","Empoli","Serie A","Fabiano Parisi","ITA","DF",94,95,91,92,92,90,61,95,99,99,56,97,38,91,95,97,98,99,87,92,94,89,70
"845","Empoli","Serie A","Roberto Piccoli","ITA","FW",22,17,29,17,19,34,50,17,55,54,40,63,77,17,21,21,31,23,42,54,57,18,46
"846","Empoli","Serie A","Marko Pjaca","CRO","MF,FW",25,28,16,24,31,49,48,28,76,84,80,68,28,30,37,40,61,39,80,52,78,32,52
"847","Empoli","Serie A","Martin Satriano","URU","FW",64,45,46,35,44,73,90,45,82,76,26,89,86,45,45,42,69,68,85,92,97,51,87
"848","Empoli","Serie A","Petar Stojanović","SVN","DF",56,71,73,76,70,72,44,71,70,66,31,75,65,68,73,78,84,72,69,38,67,67,61
"851","Empoli","Serie A","Emanuel Vignato","ITA","MF,FW",5,8,10,9,10,14,17,8,8,18,100,10,10,8,10,5,11,13,42,13,8,9,22
"852","Empoli","Serie A","Sebastian Walukiewicz","POL","DF",25,30,77,64,27,5,17,30,18,32,100,10,10,29,34,39,29,18,28,9,8,32,5
"853","Espanyol","La Liga","Keidi Bare","ALB","MF",23,26,40,34,36,26,22,26,29,26,22,36,74,25,27,26,26,52,42,26,27,25,29
"855","Espanyol","La Liga","Martin Braithwaite","DEN","FW,MF",82,49,33,31,47,80,89,49,85,76,17,88,66,50,47,48,68,75,84,91,78,55,87
"856","Espanyol","La Liga","Leandro Cabrera","URU","DF",90,87,93,92,87,47,75,87,36,46,86,29,17,77,66,62,46,42,42,35,38,80,27
"857","Espanyol","La Liga","Fernando Calero","ESP","DF,MF",60,60,79,77,68,35,42,60,18,18,22,29,92,52,45,47,34,39,42,40,43,54,19
"858","Espanyol","La Liga","José Carlos Lazo","ESP","MF,FW",11,9,24,18,7,18,19,9,26,18,10,42,95,8,9,10,15,30,28,17,33,7,30
"859","Espanyol","La Liga","Sergi Darder","ESP","MF",99,93,65,68,96,94,71,93,99,99,66,98,42,93,98,98,99,100,80,86,86,92,72
"860","Espanyol","La Liga","Adri Embarba","ESP","FW",4,3,13,3,4,5,10,3,26,32,80,22,16,2,3,5,11,13,28,13,8,1,13
"861","Espanyol","La Liga","Edu Expósito","ESP","MF",45,47,55,48,50,64,53,47,59,60,49,53,28,43,41,44,54,54,52,67,62,46,65
"863","Espanyol","La Liga","Óscar Gil","ESP","DF",87,78,83,79,74,80,61,78,80,83,65,81,53,64,62,58,78,71,65,91,67,62,84
"864","Espanyol","La Liga","Dani Gómez","ESP","MF,FW",8,5,6,5,6,12,19,5,18,18,22,29,92,5,6,3,11,18,28,17,22,5,29
"867","Espanyol","La Liga","Omar El Hilali","MAR","DF,MF",8,8,24,21,7,8,10,8,8,7,7,22,100,5,2,1,6,7,28,20,8,5,22
"868","Espanyol","La Liga","Joselu","ESP","FW",96,69,66,42,70,92,99,69,79,77,43,84,77,59,46,37,63,67,90,98,96,77,91
"869","Espanyol","La Liga","Luca Koleosho","ITA","DF,FW",4,4,6,2,4,11,19,4,26,26,36,36,88,4,5,6,15,7,52,17,8,4,30
"873","Espanyol","La Liga","César Montes","MEX","DF",58,60,90,83,59,31,64,60,26,26,36,36,88,54,51,62,44,30,28,23,27,55,16
"874","Espanyol","La Liga","Brian Oliván","ESP","DF",81,75,79,78,71,81,69,75,39,32,16,50,88,63,59,63,82,60,78,63,43,66,87
"876","Espanyol","La Liga","Pedrosa","ESP","DF,MF",14,13,26,21,13,26,22,13,34,18,7,53,95,15,19,18,31,33,59,26,16,12,43
"877","Espanyol","La Liga","Ronaël Pierre-Gabriel","FRA","DF",11,13,26,27,13,19,19,13,32,32,43,36,53,11,13,15,26,23,42,23,22,10,32
"878","Espanyol","La Liga","Javi Puado","ESP","FW,MF",79,56,50,51,51,84,92,56,85,80,29,88,66,58,69,63,89,82,93,96,87,58,84
"879","Espanyol","La Liga","Nico Ribaudo","ESP","MF,FW",47,44,16,26,48,70,71,44,83,79,31,86,66,47,51,52,77,84,82,75,85,48,78
"880","Espanyol","La Liga","Rubén","ESP","DF,MF",38,38,52,50,38,53,54,38,62,66,65,63,50,33,42,45,74,56,82,54,54,30,65
"881","Espanyol","La Liga","Vinicius Souza","BRA","MF",84,74,79,75,84,53,53,74,55,60,68,53,39,62,56,50,46,47,52,75,65,64,35
"882","Espanyol","La Liga","Denis Suárez","ESP","MF,FW",37,38,30,38,47,49,36,38,68,80,87,60,27,39,46,48,66,64,52,46,59,40,50
"884","Espanyol","La Liga","Aleix Vidal","ESP","MF,FW",42,39,47,44,39,58,46,39,55,50,28,65,85,35,34,31,51,30,59,50,47,33,63
"885","Everton","Premier League","Dele Alli","ENG","MF",4,3,6,2,4,9,14,3,8,7,7,22,100,3,1,1,6,7,28,17,16,4,9
"887","Everton","Premier League","Dominic Calvert-Lewin","ENG","FW",47,31,48,26,29,60,85,31,67,72,69,63,37,28,29,28,54,47,82,84,62,37,64
"888","Everton","Premier League","Thomas Cannon","IRL","FW",3,1,6,1,1,5,19,1,8,7,7,10,10,1,2,1,11,7,28,4,8,2,13
"889","Everton","Premier League","Conor Coady","ENG","DF",75,79,96,93,73,17,34,79,18,7,7,29,92,83,78,83,23,26,28,26,22,84,9
"890","Everton","Premier League","Séamus Coleman","IRL","DF",63,64,79,74,62,67,54,64,74,74,47,75,50,54,48,49,46,45,59,75,43,53,55
"891","Everton","Premier League","Tom Davies","ENG","MF",26,27,38,38,36,28,44,27,29,32,65,36,74,24,20,20,15,13,28,54,33,27,34
"892","Everton","Premier League","Abdoulaye Doucouré","MLI","MF",59,51,46,55,53,66,78,51,72,80,80,65,34,47,43,47,63,58,75,71,65,49,69
"893","Everton","Premier League","Idrissa Gana Gueye","SEN","MF",88,85,78,82,90,65,36,85,73,79,70,60,21,80,75,73,67,73,59,76,76,78,40
"894","Everton","Premier League","James Garner","ENG","MF,DF",35,36,50,43,38,51,32,36,47,50,65,50,53,32,33,35,34,42,42,40,27,30,39
"895","Everton","Premier League","Ben Godfrey","ENG","DF",35,32,72,56,34,31,30,32,34,32,29,36,40,25,26,29,37,39,28,43,27,23,25
"896","Everton","Premier League","Anthony Gordon","ENG","FW",45,37,38,41,32,62,79,37,81,63,11,90,90,36,46,40,68,69,87,77,82,37,70
"897","Everton","Premier League","Demarai Gray","ENG","FW,MF",87,72,50,46,65,96,95,72,96,92,26,96,59,75,85,84,97,96,99,99,99,75,96
"898","Everton","Premier League","Mason Holgate","ENG","DF",24,25,61,49,29,16,22,25,18,32,100,10,10,18,16,22,23,23,28,26,8,21,22
"899","Everton","Premier League","Alex Iwobi","NGA","MF,FW",100,93,70,76,90,98,85,93,98,98,65,98,59,93,95,94,97,99,89,96,95,93,90
"900","Everton","Premier League","Michael Keane","ENG","DF",41,43,80,69,42,29,59,43,32,37,75,29,25,37,36,41,15,18,28,26,22,36,19
