"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA"
"1","Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF",57,53,36,55,73,71,64,51,90,36,36,41,89,87,81,85,96
"2","Ajaccio","Ligue 1","Cédric Avinel","GLP","DF",69,23,13,18,73,55,64,51,69,51,40,41,89,87,95,85,96
"3","Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF",54,65,58,64,91,55,44,51,90,51,43,59,89,87,81,85,96
"4","Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF",73,77,56,75,73,89,64,92,100,63,47,59,89,87,81,85,100
"5","Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW",52,80,87,69,93,89,88,96,69,94,97,89,89,99,95,99,96
"6","Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF",21,36,80,30,59,55,64,88,69,51,84,41,89,87,95,85,96
"7","Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF",25,16,15,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"8","Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW",18,26,58,27,73,55,44,51,69,36,36,41,89,87,81,85,96
"9","Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF",24,36,69,41,59,55,44,51,69,36,36,41,89,87,81,85,96
"10","Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF",71,62,36,69,73,71,44,51,69,51,40,59,89,87,81,85,96
"11","Ajaccio","Ligue 1","Ismael Diallo","CIV","DF",77,50,25,47,86,55,64,70,69,36,36,41,89,87,81,85,96
"12","Ajaccio","Ligue 1","Moussa Djitte","SEN","FW",16,20,37,23,59,55,44,51,69,36,36,41,89,87,81,85,96
"13","Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF",86,26,12,30,59,55,44,51,69,36,36,41,89,87,81,85,96
"14","Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW",16,16,24,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"15","Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF",49,70,75,63,90,79,83,92,69,85,91,85,89,87,95,97,96
"16","Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW",87,76,42,69,73,55,64,100,90,63,43,59,89,87,81,97,96
"17","Ajaccio","Ligue 1","Anthony Khelifa","FRA","DF",4,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"18","Ajaccio","Ligue 1","Youssouf Koné","MLI","DF",44,32,21,30,59,55,64,51,90,36,36,41,89,87,81,85,96
"19","Ajaccio","Ligue 1","Qazim Laçi","ALB","MF",21,40,92,30,86,55,64,70,69,36,36,41,89,87,81,85,96
"20","Ajaccio","Ligue 1","Paolo Lebas","POR","MF",10,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"21","Ajaccio","Ligue 1","Benjamin Leroy","FRA","GK",91,29,13,34,59,55,44,51,69,36,36,41,89,87,81,85,96
"22","Ajaccio","Ligue 1","Ruan Levine","BRA","MF,FW",8,23,99,12,59,71,64,70,69,36,36,41,89,87,81,85,96
"23","Ajaccio","Ligue 1","Thomas Mangani","FRA","MF",56,76,74,57,98,55,64,70,69,51,43,59,89,87,81,85,96
"24","Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF",84,83,54,87,59,79,88,88,69,93,79,96,89,87,81,97,96
"25","Ajaccio","Ligue 1","Fernand Mayembo","CGO","DF",38,26,20,23,59,55,44,70,90,36,36,41,89,87,81,85,96
"26","Ajaccio","Ligue 1","Bevic Moussiti-Oko","CGO","FW",38,52,63,43,59,79,83,92,69,36,36,41,89,87,81,85,96
"27","Ajaccio","Ligue 1","Riad Nouri","FRA","MF,FW",65,74,61,66,94,55,92,81,69,51,42,59,89,87,81,85,96
"28","Ajaccio","Ligue 1","Mehdi Puch Herrantz","FRA","MF",9,16,70,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"29","Ajaccio","Ligue 1","Ghjuvanni Quilichini","FRA","GK",12,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"30","Ajaccio","Ligue 1","François-Joseph Sollacaro","FRA","GK",32,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"31","Ajaccio","Ligue 1","Moussa Soumano","FRA","FW",30,40,51,39,59,79,44,70,69,51,63,41,89,96,81,85,96
"32","Ajaccio","Ligue 1","Kevin Spadanuda","SUI","MF,FW",49,46,35,45,59,55,75,70,90,51,45,41,89,87,81,85,100
"33","Ajaccio","Ligue 1","Tony Strata","FRA","MF,DF",15,16,26,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"34","Ajaccio","Ligue 1","Yoann Touzghar","TUN","FW",29,20,17,18,59,55,44,70,69,36,36,41,89,87,81,85,96
"35","Ajaccio","Ligue 1","Clément Vidal","FRA","DF,MF",70,32,15,34,59,55,64,51,69,36,36,41,89,87,81,85,96
"36","Ajaccio","Ligue 1","Mohamed Youssouf","COM","DF",83,67,35,71,73,79,64,81,69,36,36,41,89,87,81,85,96
"37","Almería","La Liga","Sergio Akieme","ESP","DF",81,71,40,75,73,71,83,51,97,71,51,72,89,96,81,85,96
"38","Almería","La Liga","Srđan Babić","SRB","DF",95,55,22,60,59,55,75,51,69,51,37,41,89,87,95,85,96
"39","Almería","La Liga","Léo Baptistão","BRA","FW,MF",68,83,73,82,59,89,97,81,97,71,59,72,89,87,95,85,96
"40","Almería","La Liga","El Bilal Touré","MLI","FW",52,69,69,71,59,79,88,81,69,77,75,80,89,96,81,85,96
"41","Almería","La Liga","Juan Brandáriz","ESP","DF",61,42,23,43,59,71,44,70,69,36,36,41,89,87,81,85,96
"42","Almería","La Liga","José Carlos Lazo","ESP","MF,FW",6,23,100,18,59,55,64,70,69,36,36,41,89,87,81,85,96
"43","Almería","La Liga","Álex Centelles","ESP","DF",48,59,54,53,91,79,44,51,69,71,71,72,96,87,81,85,96
"44","Almería","La Liga","Samu Costa","POR","MF",73,78,58,81,73,71,75,88,99,63,47,72,89,87,81,85,96
"45","Almería","La Liga","Curro","ESP","MF",9,20,92,12,80,55,44,51,69,36,36,41,89,87,81,85,96
"46","Almería","La Liga","Íñigo Eguaras","ESP","MF",46,61,64,66,59,55,64,70,90,63,63,72,89,87,81,85,96
"47","Almería","La Liga","Rodrigo Ely","BRA","DF",97,56,22,53,73,71,92,51,69,63,42,72,89,87,81,85,96
"48","Almería","La Liga","Adri Embarba","ESP","FW,MF",58,87,89,72,97,96,75,92,90,89,89,59,98,96,99,97,96
"49","Almería","La Liga","Fernando","ESP","GK",98,26,12,18,84,55,44,51,69,36,36,41,89,87,81,85,96
"50","Almería","La Liga","Luis Javier Suárez","COL","FW",62,72,61,60,73,96,92,94,90,91,90,85,89,99,95,97,96
"51","Almería","La Liga","Kaiky","BRA","DF",34,16,13,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"52","Almería","La Liga","César de la Hoz","ESP","MF",66,52,30,55,59,79,64,51,69,63,50,59,89,96,81,85,96
"53","Almería","La Liga","Lázaro","BRA","FW,MF",36,57,77,55,73,71,75,88,69,63,74,72,89,87,81,85,96
"54","Almería","La Liga","Diego Mariño","ESP","GK",9,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"55","Almería","La Liga","Gonzalo Melero","ESP","MF",69,83,69,87,73,71,92,70,69,85,75,89,89,87,95,85,96
"56","Almería","La Liga","Houboulang Mendes","FRA","DF",43,38,29,37,80,71,44,51,69,51,48,59,89,87,81,85,96
"57","Almería","La Liga","Marko Milovanović","SRB","FW",6,16,97,12,59,55,64,51,69,36,36,41,89,87,81,85,96
"58","Almería","La Liga","Fernando Pacheco","ESP","GK",14,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"59","Almería","La Liga","Francisco Portillo","ESP","MF,FW",37,61,81,67,59,71,44,51,90,63,71,72,89,87,81,85,96
"60","Almería","La Liga","Alejandro Pozo Pozo","ESP","DF,MF",69,79,63,83,84,79,75,51,90,89,80,94,89,87,81,85,96
"61","Almería","La Liga","Arnau Puigmal","ESP","MF,FW",39,62,78,63,73,71,44,81,97,51,51,59,89,87,81,85,96
"62","Almería","La Liga","Largie Ramazani","BEL","FW,MF",59,74,69,69,73,97,88,70,97,63,53,59,89,87,95,85,96
"63","Almería","La Liga","Lucas Robertone","ARG","MF",92,97,84,97,98,85,75,92,90,96,81,92,100,96,81,85,96
"64","Almería","La Liga","Umar Sadiq","NGA","FW",22,32,61,30,59,71,44,70,69,36,36,41,89,87,81,85,96
"65","Almería","La Liga","Dyego Sousa","POR","FW",31,45,63,45,59,79,64,51,69,51,62,59,89,87,81,85,96
"66","Angers","Ligue 1","Himad Abdelli","FRA","MF,FW",76,90,77,93,86,85,64,51,97,71,53,80,89,87,81,85,96
"67","Angers","Ligue 1","Ibrahim Amadou","FRA","DF,MF",28,23,23,27,59,55,44,51,69,36,36,41,89,87,81,85,96
"68","Angers","Ligue 1","Abdoulaye Bamba","CIV","DF",55,36,21,39,59,55,44,51,90,36,36,41,89,87,81,85,96
"69","Angers","Ligue 1","Nabil Bentaleb","ALG","MF",84,90,69,84,97,94,64,88,97,91,75,92,98,87,81,85,96
"70","Angers","Ligue 1","Paul Bernardoni","FRA","GK",85,16,11,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"71","Angers","Ligue 1","Miha Blažič","SVN","DF",72,29,14,34,59,55,44,51,69,51,40,59,89,87,81,85,96
"72","Angers","Ligue 1","Antonin Bobichon","FRA","MF",6,20,99,23,59,55,44,51,69,36,36,41,89,87,81,85,96
"73","Angers","Ligue 1","Sofiane Boufal","MAR","FW,MF",42,83,97,83,84,89,64,96,69,85,95,80,96,87,81,99,96
"74","Angers","Ligue 1","Ousmane Camara","FRA","DF",32,16,13,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"75","Angers","Ligue 1","Pierrick Capelle","FRA","MF,DF",57,68,60,66,92,71,75,51,69,81,78,80,96,96,81,85,96
"76","Angers","Ligue 1","Ilyes Cheti","ALG","DF",20,16,18,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"77","Angers","Ligue 1","Lois Diony","FRA","FW",30,40,51,39,59,79,64,51,69,36,36,41,89,87,81,85,96
"78","Angers","Ligue 1","Souleyman Doumbia","CIV","DF,FW",69,67,44,70,59,85,44,88,90,36,36,41,89,87,81,85,96
"79","Angers","Ligue 1","Yahia Fofana","FRA","GK",44,20,14,23,59,55,44,51,69,51,48,59,89,87,81,85,96
"80","Angers","Ligue 1","Faouzi Ghoulam","ALG","DF",30,50,80,37,93,55,44,70,69,51,63,59,89,87,81,85,96
"81","Angers","Ligue 1","Cédric Hountondji","BEN","DF",97,45,17,50,59,55,64,51,69,63,42,59,89,87,95,85,96
"82","Angers","Ligue 1","Adrien Hunou","FRA","MF,FW",80,80,52,81,73,71,83,97,69,85,69,80,89,87,95,99,96
"83","Angers","Ligue 1","Marin Jakoliš","CRO","FW",8,20,98,23,59,55,44,51,69,36,36,41,89,87,81,85,96
"84","Angers","Ligue 1","Justin-Noël Kalumba","FRA","DF",32,36,37,27,59,55,64,92,69,36,36,41,89,87,81,85,96
"85","Angers","Ligue 1","Jean Mattéo Bahoya","FRA","FW,MF",23,26,38,30,59,55,44,51,69,36,36,41,89,87,81,85,96
"86","Angers","Ligue 1","Jason Mbock","FRA","MF,FW",8,16,86,12,73,55,44,51,69,36,36,41,89,87,81,85,96
"87","Angers","Ligue 1","Farid El Melali","ALG","DF,FW",40,43,39,39,73,79,44,81,69,51,51,59,89,87,81,85,96
"88","Angers","Ligue 1","Batista Mendy","FRA","MF,DF",93,74,37,81,59,85,64,51,69,36,36,41,89,87,81,85,96
"89","Angers","Ligue 1","Ibrahima Niane","SEN","FW",51,55,43,50,73,71,44,96,69,71,69,72,96,87,81,85,96
"90","Angers","Ligue 1","Zinédine Ould Khaled","FRA","MF,FW",10,16,48,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"91","Angers","Ligue 1","Azzedine Ounahi","MAR","MF,FW",51,77,84,80,73,89,83,70,69,71,69,72,89,87,95,85,96
"92","Angers","Ligue 1","Lilian Raolisoa","FRA","DF,MF",16,23,54,27,59,55,44,51,69,36,36,41,89,87,81,85,96
"93","Angers","Ligue 1","Halid Šabanović","BIH","DF",34,23,18,23,73,55,44,51,69,36,36,41,89,87,81,85,96
"94","Angers","Ligue 1","Amine Salama","FRA","FW,MF",54,63,53,60,59,89,83,81,69,51,43,59,89,87,81,85,96
"95","Angers","Ligue 1","Abdallah Sima","SEN","FW",68,69,47,69,59,71,88,94,69,89,81,72,89,96,95,100,96
"96","Angers","Ligue 1","Waniss Taibi","FRA","MF",19,20,30,23,59,55,44,51,69,36,36,41,89,87,81,85,96
"97","Angers","Ligue 1","Sada Thioub","SEN","DF,FW",47,72,82,72,86,89,64,51,90,77,81,85,89,87,81,85,96
"98","Angers","Ligue 1","Yan Valery","TUN","DF",84,72,39,70,80,92,75,88,69,51,38,59,89,87,81,85,96
"99","Arsenal","Premier League","Gabriel Dos Santos","BRA","DF",100,60,22,64,59,55,75,51,90,63,40,72,89,87,81,85,96
"100","Arsenal","Premier League","Mohamed Elneny","EGY","MF",15,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"101","Arsenal","Premier League","Rob Holding","ENG","DF",33,32,30,30,59,71,64,51,69,36,36,41,89,87,81,85,96
"102","Arsenal","Premier League","Gabriel Jesus","BRA","FW",76,93,87,87,73,99,99,100,99,97,92,96,89,96,95,99,96
"103","Arsenal","Premier League","Jorginho","ITA","MF",42,56,60,61,59,55,44,51,97,81,92,85,89,87,81,85,100
"104","Arsenal","Premier League","Jakub Kiwior","POL","DF",28,16,14,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"105","Arsenal","Premier League","Marquinhos","BRA","MF",2,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"106","Arsenal","Premier League","Martinelli","BRA","FW",93,99,91,99,92,99,100,92,97,99,93,98,89,99,100,85,96
"107","Arsenal","Premier League","Reiss Nelson","ENG","FW",21,53,99,51,59,85,75,70,69,81,100,80,89,87,99,85,96
"108","Arsenal","Premier League","Eddie Nketiah","ENG","FW",49,65,65,53,59,94,94,88,69,71,70,72,89,87,81,97,96
"109","Arsenal","Premier League","Ethan Nwaneri","ENG","FW",2,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"110","Arsenal","Premier League","Thomas Partey","GHA","MF",86,91,69,95,80,71,75,70,99,85,67,92,89,87,81,85,96
"111","Arsenal","Premier League","Aaron Ramsdale","ENG","GK",100,23,11,27,59,55,44,51,69,36,36,41,89,87,81,85,96
"112","Arsenal","Premier League","Bukayo Saka","ENG","FW",98,100,94,100,98,97,99,97,97,100,97,100,100,99,95,85,100
"113","Arsenal","Premier League","William Saliba","FRA","DF",85,46,20,47,80,71,44,51,69,63,43,72,89,87,81,85,96
"114","Arsenal","Premier League","Albert Sambi Lokonga","BEL","MF",20,26,50,27,59,55,44,70,69,36,36,41,89,87,81,85,96
"115","Arsenal","Premier League","Emile Smith Rowe","ENG","MF,FW",18,38,94,37,73,55,75,51,69,51,92,59,89,87,81,85,96
"116","Arsenal","Premier League","Cédric Soares","POR","DF",8,16,79,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"117","Arsenal","Premier League","Kieran Tierney","SCO","DF",40,43,38,45,59,71,64,51,69,77,88,85,89,87,81,85,96
"118","Arsenal","Premier League","Takehiro Tomiyasu","JPN","DF",36,40,38,41,80,55,44,51,69,63,73,72,89,87,81,85,96
"119","Arsenal","Premier League","Leandro Trossard","BEL","FW",45,69,82,67,91,71,64,81,69,93,98,96,96,87,81,85,96
"120","Arsenal","Premier League","Fabio Vieira","POR","MF,FW",31,59,91,58,80,79,75,51,69,71,92,80,89,87,81,85,96
"121","Arsenal","Premier League","Ben White","ENG","DF",96,89,51,92,91,55,44,70,69,97,83,99,96,87,81,85,96
"122","Arsenal","Premier League","Granit Xhaka","SUI","MF",96,98,82,99,84,92,88,88,90,99,91,100,89,87,95,85,96
"123","Arsenal","Premier League","Oleksandr Zinchenko","UKR","DF",78,85,65,90,73,55,88,70,90,77,60,80,89,87,95,85,96
"124","Arsenal","Premier League","Martin Ødegaard","NOR","MF",97,100,95,100,96,89,100,96,99,99,90,100,89,87,99,85,96
"125","Aston Villa","Premier League","Cameron Archer","ENG","FW,MF",9,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"126","Aston Villa","Premier League","Ludwig Augustinsson","SWE","DF",12,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"127","Aston Villa","Premier League","Leon Bailey","JAM","FW,MF",74,88,74,84,80,98,96,88,69,91,82,89,89,87,100,85,96
"128","Aston Villa","Premier League","Jan Bednarek","POL","DF",15,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"129","Aston Villa","Premier League","Emi Buendía","ARG","MF,FW",85,95,83,97,80,97,83,92,90,94,82,94,89,96,99,85,96
"130","Aston Villa","Premier League","Diego Carlos","BRA","DF",20,23,37,23,59,55,64,51,69,36,36,41,89,87,81,85,96
"131","Aston Villa","Premier League","Matty Cash","POL","DF",70,64,39,70,59,71,44,70,90,71,56,72,89,87,81,85,100
"132","Aston Villa","Premier League","Calum Chambers","ENG","DF,MF",26,32,42,34,59,55,44,51,90,36,36,41,89,87,81,85,96
"133","Aston Villa","Premier League","Philippe Coutinho","BRA","MF,FW",40,60,72,61,73,85,64,51,69,36,36,41,89,87,81,85,96
"134","Aston Villa","Premier League","Leander Dendoncker","BEL","MF",37,36,32,37,59,55,64,51,90,36,36,41,89,87,81,85,96
"135","Aston Villa","Premier League","Lucas Digne","FRA","DF",62,65,47,69,86,55,44,70,69,36,36,41,89,87,81,85,96
"136","Aston Villa","Premier League","Jhon Durán","COL","FW,MF",16,29,82,27,59,55,64,51,90,36,36,41,89,87,81,85,96
"137","Aston Villa","Premier League","Danny Ings","ENG","FW",42,49,47,50,59,79,75,51,69,51,50,41,89,96,81,85,96
"138","Aston Villa","Premier League","Boubacar Kamara","FRA","MF",69,59,34,61,59,71,44,88,69,77,65,72,89,96,81,97,96
"139","Aston Villa","Premier League","Ezri Konsa","ENG","DF",99,48,17,51,59,55,64,70,69,63,40,72,89,87,81,85,96
"140","Aston Villa","Premier League","Douglas Luiz","BRA","MF",95,96,76,94,98,89,64,70,99,97,82,97,96,87,81,85,100
"141","Aston Villa","Premier League","Emiliano Martínez","ARG","GK",97,29,12,27,80,55,44,51,69,36,36,41,89,87,81,85,96
"142","Aston Villa","Premier League","John McGinn","SCO","MF,FW",91,93,71,92,93,92,83,94,90,94,78,94,96,87,81,99,96
"143","Aston Villa","Premier League","Tyrone Mings","ENG","DF",98,59,23,58,59,55,75,92,69,77,50,72,89,87,95,97,96
"144","Aston Villa","Premier League","Álex Moreno","ESP","DF",56,69,63,77,59,79,64,51,69,71,65,80,89,87,81,85,96
"145","Aston Villa","Premier League","Robin Olsen","SWE","GK",24,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"146","Aston Villa","Premier League","Jacob Ramsey","ENG","MF,FW",90,93,73,96,59,89,75,94,90,96,83,96,89,96,95,97,96
"147","Aston Villa","Premier League","Morgan Sanson","FRA","MF",4,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"148","Aston Villa","Premier League","Bertrand Traoré","BFA","FW,MF",22,26,43,27,59,55,44,70,69,36,36,41,89,87,81,85,96
"149","Aston Villa","Premier League","Ollie Watkins","ENG","FW",97,93,62,91,59,94,99,99,69,98,84,92,89,99,100,97,96
"150","Aston Villa","Premier League","Ashley Young","ENG","DF",76,74,48,80,84,79,64,51,69,63,47,72,89,87,81,85,96
"151","Atalanta","Serie A","Jeremie Boga","CIV","MF,FW",40,86,98,78,95,96,64,81,90,91,98,94,89,87,81,85,100
"152","Atalanta","Serie A","Merih Demiral","TUR","DF",62,26,14,30,59,55,44,51,69,36,36,41,89,87,81,85,96
"153","Atalanta","Serie A","Berat Djimsiti","ALB","DF",68,36,18,39,59,55,44,70,69,71,59,80,89,87,81,85,96
"154","Atalanta","Serie A","Éderson","BRA","MF",78,83,60,81,73,94,96,70,90,77,60,80,89,87,81,97,96
"155","Atalanta","Serie A","Hans Hateboer","NED","DF",59,57,40,61,73,71,64,51,69,51,42,59,89,87,81,85,96
"156","Atalanta","Serie A","Rasmus Højlund","DEN","FW",68,84,73,81,59,96,94,94,69,77,66,72,89,87,81,99,96
"157","Atalanta","Serie A","Teun Koopmeiners","NED","MF",92,98,90,98,99,79,99,81,69,98,89,97,99,87,99,85,96
"158","Atalanta","Serie A","Ademola Lookman","NGA","FW,MF",67,94,93,93,90,98,92,94,69,96,94,94,89,96,99,97,96
"159","Atalanta","Serie A","José Luis Palomino","ARG","DF",39,38,32,39,59,71,64,51,69,63,69,59,89,87,95,85,96
"160","Atalanta","Serie A","Ruslan Malinovskyi","UKR","MF,FW",32,62,92,57,91,71,64,70,69,63,78,72,89,87,81,85,96
"161","Atalanta","Serie A","Luis Muriel","COL","FW,MF",49,90,97,86,96,89,83,81,69,85,91,89,89,87,81,97,96
"162","Atalanta","Serie A","Juan Musso","ARG","GK",77,16,11,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"163","Atalanta","Serie A","Joakim Mæhle","DEN","DF,MF",78,92,80,95,86,89,64,81,97,77,60,72,96,96,81,85,96
"164","Atalanta","Serie A","Caleb Okoli","ITA","DF",45,16,12,12,59,55,64,51,69,36,36,41,89,87,81,85,96
"165","Atalanta","Serie A","Mario Pašalić","CRO","MF,FW",68,79,66,85,59,79,75,51,90,85,77,89,89,87,95,85,96
"166","Atalanta","Serie A","Marten de Roon","NED","MF",94,82,44,88,59,71,64,88,90,63,42,72,89,87,81,85,96
"167","Atalanta","Serie A","Matteo Ruggeri","ITA","DF,MF",42,50,50,58,59,55,44,51,69,51,50,59,89,87,81,85,96
"168","Atalanta","Serie A","Giorgio Scalvini","ITA","DF",81,68,37,75,73,79,44,51,90,81,65,89,89,87,81,85,96
"169","Atalanta","Serie A","Brandon Soppy","FRA","DF",36,57,78,58,59,71,64,88,69,85,97,89,89,87,81,97,96
"170","Atalanta","Serie A","Marco Sportiello","ITA","GK",54,23,14,23,73,55,44,51,69,36,36,41,89,87,81,85,96
"171","Atalanta","Serie A","Rafael Tolói","ITA","DF",91,79,42,83,59,85,88,51,90,91,73,94,89,87,95,85,96
"172","Atalanta","Serie A","Lukáš Vorlický","CZE","MF,FW",8,16,88,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"173","Atalanta","Serie A","Duván Zapata","COL","FW",59,79,76,81,59,92,64,92,90,89,88,85,89,96,95,97,96
"174","Atalanta","Serie A","Davide Zappacosta","ITA","DF",58,72,66,70,88,85,75,70,90,91,92,89,96,96,95,85,96
"175","Atalanta","Serie A","Nadir Zortea","ITA","DF,MF",21,36,81,34,59,79,64,51,69,51,85,59,89,87,81,85,96
"176","Athletic Club","La Liga","Julen Agirrezabala","ESP","GK",37,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"177","Athletic Club","La Liga","Yeray Álvarez","ESP","DF",82,64,33,69,73,55,64,70,90,63,45,72,89,87,81,85,96
"178","Athletic Club","La Liga","Mikel Balenziaga","ESP","DF",15,16,26,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"179","Athletic Club","La Liga","Yuri Berchiche","ESP","DF",82,84,59,88,88,71,83,70,69,63,45,59,89,87,81,97,96
"180","Athletic Club","La Liga","Álex Berenguer","ESP","FW",81,96,89,89,99,97,92,92,99,77,59,72,89,96,95,85,96
"181","Athletic Club","La Liga","Ander Capa","ESP","DF",15,29,92,34,59,55,44,51,69,36,36,41,89,87,81,85,96
"182","Athletic Club","La Liga","Malcom Abdulai Ares Djalo","ESP","FW,MF",12,43,100,39,59,79,64,81,69,36,36,41,89,87,81,85,96
"183","Athletic Club","La Liga","Dani García","ESP","MF",61,59,39,63,59,55,44,70,97,77,69,85,89,87,81,85,96
"184","Athletic Club","La Liga","Raúl García","ESP","FW,MF",45,68,79,60,59,79,99,70,97,89,95,89,89,96,95,85,96
"185","Athletic Club","La Liga","Gorka Guruzeta","ESP","FW",57,73,68,74,59,71,94,88,69,63,53,59,89,87,95,85,96
"186","Athletic Club","La Liga","Ander Herrera","ESP","MF",35,56,76,60,59,55,64,70,90,51,55,59,89,87,81,85,96
"187","Athletic Club","La Liga","Iñigo Lekue","ESP","DF",56,66,56,69,86,71,44,70,69,71,65,72,96,87,81,85,96
"188","Athletic Club","La Liga","Óscar de Marcos","ESP","DF",91,91,66,95,91,71,64,70,90,93,75,96,89,96,81,85,96
"189","Athletic Club","La Liga","Iñigo Martínez","ESP","DF",57,45,28,45,59,55,83,51,69,51,43,59,89,87,81,85,96
"190","Athletic Club","La Liga","Jon Morcillo","ESP","FW,MF",12,26,97,30,59,55,44,51,69,51,99,59,89,87,81,85,96
"191","Athletic Club","La Liga","Iker Muniain","ESP","MF,FW",66,97,97,95,99,71,75,99,69,97,95,96,98,87,81,99,96
"192","Athletic Club","La Liga","Aitor Paredes","ESP","DF",39,26,19,23,59,55,75,51,69,36,36,41,89,87,81,85,96
"193","Athletic Club","La Liga","Oihan Sancet","ESP","MF",86,95,84,97,73,96,88,94,90,81,62,85,89,87,81,97,96
"194","Athletic Club","La Liga","Unai Simón","ESP","GK",90,16,11,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"195","Athletic Club","La Liga","Unai Vencedor Paris","ESP","MF",18,20,32,18,59,55,64,51,69,36,36,41,89,87,81,85,96
"196","Athletic Club","La Liga","Mikel Vesga","ESP","MF",87,83,52,89,59,55,83,70,90,85,67,80,89,87,95,97,100
"197","Athletic Club","La Liga","Asier Villalibre","ESP","FW",15,23,72,27,59,55,44,51,69,36,36,41,89,87,81,85,96
"198","Athletic Club","La Liga","Daniel Vivian","ESP","DF",81,49,22,50,73,55,75,70,69,36,36,41,89,87,81,85,96
"199","Athletic Club","La Liga","Iñaki Williams","GHA","FW",92,94,72,94,59,99,94,92,90,93,74,92,89,96,95,97,96
"200","Athletic Club","La Liga","Nico Williams","ESP","FW",89,96,84,95,93,99,83,92,90,93,77,89,89,99,95,97,96
"201","Athletic Club","La Liga","Oier Zarraga","ESP","MF",42,61,72,58,86,55,83,51,90,36,36,41,89,87,81,85,96
"202","Atlético Madrid","La Liga","Pablo Barrios","ESP","MF",35,52,68,57,59,55,75,51,69,63,74,59,89,87,95,85,96
"203","Atlético Madrid","La Liga","Yannick Carrasco","BEL","DF,MF",82,96,88,93,95,99,97,81,69,93,80,85,98,96,99,85,96
"204","Atlético Madrid","La Liga","Ángel Correa","ARG","FW,MF",58,87,89,87,84,89,94,70,90,94,95,89,89,96,100,85,100
"205","Atlético Madrid","La Liga","Matheus Cunha","BRA","FW,MF",27,40,65,41,59,55,75,51,69,63,90,72,89,87,81,85,96
"206","Atlético Madrid","La Liga","Rodrigo De Paul","ARG","MF",73,95,91,98,91,71,44,88,69,96,92,98,89,87,81,97,96
"207","Atlético Madrid","La Liga","Matt Doherty","IRL","DF",6,10,10,12,59,55,44,51,69,36,36,41,89,87,81,85,96
"208","Atlético Madrid","La Liga","Felipe","BRA","DF",20,16,18,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"209","Atlético Madrid","La Liga","João Félix","POR","FW,MF",36,65,91,66,59,85,83,51,90,81,96,85,89,87,95,85,96
"210","Atlético Madrid","La Liga","Ivo Grbić","CRO","GK",42,16,12,18,59,55,44,51,69,36,36,41,89,87,81,85,96
