"","Squad_1","Squad_2","Comp_1","Comp_2","Player","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"165","Burnley","Aston Villa","Premier League","Premier League","Tom Heaton",-20,-20,-21,-21,-5.5,29.5,-19,-21,-23,-18,-22,-2,-20.5,-13.5,3,12,-16,0,-6.5
"166","Rennes","Augsburg","Ligue 1","Bundesliga","Tomáš Koubek",-27,-25,-25,-25,16,53.5,-7.5,-16.5,-44,-32.5,-25,8,-38,-35,-50.5,-53.5,-5,-8.5,15.5
"167","Getafe","Crystal Palace","La Liga","Premier League","Vicente Guaita",-24.25,-24.25,-24.75,-24.75,-9.25,-1,-13.25,-15.5,-1.5,-8.25,-10,-16.5,-11.5,0.75,-32.5,-11.5,-29,-17,-22
"168","Benevento","Sampdoria","Serie A","Serie A","Vid Belec",-22,-21,-20,-20,-31,4,-27,-26,36,-14,0,-51,-9,-2,-31,-37,0,0,0
"169","Sampdoria","Salernitana","Serie A","Serie A","Vid Belec",39,35,36,36,73,-3,64,56,-46,20,15,73,9,0,56,37,32,17,20
"170","Sunderland","Monaco","Premier League","Ligue 1","Vito Mannone",0,0,0,0,-6,-26,-10,-13,-39,22,-6,-18,0,0,0,0,0,0,0
"171","Monaco","Lorient","Ligue 1","Ligue 1","Vito Mannone",16,14,14,14,13,-21,21,27,49,-5,42,24,23,22,-16,-20,0,0,0
"172","Sampdoria","Lecce","Serie A","Serie A","Wladimiro Falcone",78.5,78.5,79,79,57,-49.5,64.5,66.5,14,38,79,67,38.5,-0.5,64,57,32,0,8
"173","Roma","Juventus","Serie A","Serie A","Wojciech Szczęsny",-41.4,-41.2,-42.2,-42.2,-17.6,-2.4,-34.4,-38.6,-6.40000000000001,-9.2,24.4,-10,-13.8,-8,8.8,18.8,-11.8,6.8,-18.4
"174","M'Gladbach","Bayern Munich","Bundesliga","Bundesliga","Yann Sommer",-25,-25.1428571428571,-24.4285714285714,-24.4285714285714,-33.1428571428571,-10.5714285714286,-48.2857142857143,-53.7142857142857,-31.8571428571429,-3.42857142857143,-26.8571428571429,-32.2857142857143,-12.2857142857143,6.85714285714285,29.4285714285714,31.2857142857143,-10.5714285714286,-2.42857142857143,-10.4285714285714
"175","Girona","Sevilla","La Liga","La Liga","Yassine Bounou",-13.5,-14.25,-13,-13,-37.75,-32,-40.75,-40.25,5.5,-0.75,-17.5,-37.25,-5,17,-25,-34,26.5,-4.25,21.75
"176","Rayo Vallecano","Eibar","La Liga","La Liga","Yoel",9,6,5,5,-4.5,-39,4.5,11,42.5,20.5,10.5,-10,31,53,-0.5,-22.5,32,0,37.5
"177","Eibar","Valladolid","La Liga","La Liga","Yoel",-21,-18,-18,-18,-19.5,29,-22.5,-26,-39.5,-29.5,-10.5,-20,-31,-53,-15.5,2.5,-32,0,-37.5
"178","RB Leipzig","Lorient","Bundesliga","Ligue 1","Yvon Mvogo",34,37,36,36,40,11,42,45,-30,57,33,30,15,-78,0,0,0,0,0
"179","Huesca","Brentford","La Liga","Premier League","Álvaro Fernández",-18,-18,-18,-18,-16,34,-12,-13,-8,-11,-28,-27,-31,-31,-16,-20,0,0,0
"180","Swansea City","West Ham","Premier League","Premier League","Łukasz Fabiański",-15,-15,-17.6,-17.4,-18.8,-21.6,-16.4,-10.8,15.5,15.4,1.59999999999999,-21.2,-6,-1.5,-15.8,-17.2,-3.90000000000001,1.7,1.8
"181","Empoli","Bologna","Serie A","Serie A","Łukasz Skorupski",3.2,3.40000000000001,3.40000000000001,3.8,-4.8,-8,-9.2,-10.2,-15.8,18.8,7.2,-13.2,-21.2,-21.8,-8.40000000000001,4.59999999999999,-15.4,-13.6,-21.4
