"","Squad_1","Squad_2","Comp_1","Comp_2","Player","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"73","Milan","Paris S-G","Serie A","Ligue 1","Gianluigi Donnarumma",-29.4,-28.9,-26.8,-26.8,-23.2,-4.2,-16.7,-14.2,9.7,-3.90000000000001,-49.2,-27.8,-19.3,-2.90000000000001,-32.3,-26.8,-14.4,-2.3,-7.90000000000001
"74","Athletic Club","Girona","La Liga","La Liga","Gorka Iraizoz",-46,-46,-43.5,-43.5,-29,36.5,-24.5,-27.5,48,-47.5,-45.5,-25.5,-44.5,-30.5,-27.5,-5,-37,0,-28
"75","Augsburg","Hoffenheim","Bundesliga","Bundesliga","Gregor Kobel",-30,-30,-28,-28,-68,-81,-41,-31,96,-17,-15,-61,-24,-23,-16,0,-32,0,-41
"76","Hoffenheim","Stuttgart","Bundesliga","Bundesliga","Gregor Kobel",68,68,68,68,88,54,82,75,-59,54,75,76,40,13,70,57,42,0,22
"77","Stuttgart","Dortmund","Bundesliga","Bundesliga","Gregor Kobel",-15,-15,-16,-16,-33,-33.5,-28,-20.5,11,23.5,-51,-41,24.5,46.5,-54.5,-38.5,-42,0,-22
"78","Granada","Salernitana","La Liga","Serie A","Guillermo Ochoa",-62,-62,-62,-62,-52,-22,-51,-50,26,0,13,-66,7,27,-14,0,0,-17,0
"79","Leganés","Athletic Club","La Liga","La Liga","Iago Herrerín",-12.6666666666667,-13.3333333333333,-11.3333333333333,-11.3333333333333,-11.6666666666667,9.33333333333334,-11,-12.3333333333333,13.3333333333333,6.33333333333334,-21.3333333333333,-40,-12.6666666666667,-2,-19,-11.3333333333333,-21.3333333333333,0,-10.3333333333333
"80","Genoa","Auxerre","Serie A","Ligue 1","Ionuț Radu",-20,-20.5,-20,-20,-42,-50,-31,-28,19,1,-15.5,-30.5,8,47,-51,-85,26,-8.5,42
"81","Auxerre","Cremonese","Ligue 1","Serie A","Ionuț Radu",-12,-11,-11,-11,3,72,-2,-3,3,-26,-27,0,-31,-55,15,62,-42,0,-46
"82","Empoli","Spezia","Serie A","Serie A","Ivan Provedel",27.5,27.5,26.5,26.5,31,-14.5,27,23,7,18,28.5,35,42,21.5,30,30,16,-7.5,2.5
"83","Spezia","Lazio","Serie A","Serie A","Ivan Provedel",32.5,25.5,27.5,27.5,-42,-71.5,-14,4,43,43,5.5,-35,48,67.5,-59,-67,-16,7.5,-2.5
"84","Lille","Atlético Madrid","Ligue 1","La Liga","Ivo Grbić",-18,-20,-20,-20,-25,-15,-19,-18,50,-9,-44,-30,0,29,15,17,0,0,0
"85","Sporting Gijón","Leganés","La Liga","La Liga","Iván Cuéllar",-5.33333333333333,-5.83333333333333,-7.66666666666667,-8,-29.1666666666667,-44,-31,-33.8333333333333,4.83333333333334,13.1666666666667,0.5,-16.1666666666667,15,29.6666666666667,-42,-34.3333333333333,-15.6666666666667,-9.5,2.33333333333333
"86","Stoke City","Crystal Palace","Premier League","Premier League","Jack Butland",-60,-61,-61,-61,-76,-15,-84,-85,-59,-27,-52,-76,-38,-11,-56,-82,32,0,46
"87","Barcelona","Valencia","La Liga","La Liga","Jasper Cillessen",26,25.6666666666667,24.6666666666667,24.6666666666667,29.6666666666667,4,30,29.6666666666667,-18,29,36,26,20.3333333333333,-33,51.3333333333333,40,35.3333333333333,0,23
"88","Bastia","Lens","Ligue 1","Ligue 1","Jean-Louis Leca",-3.5,-3.5,-4,-4,-3.5,5.5,-17.5,-22.5,-18.5,22,2.5,-29,-10,-10,-12,4,-29,-17,-23
"89","Saint-Étienne","Troyes","Ligue 1","Ligue 1","Jessy Moulin",-10.3333333333333,-9.33333333333333,-9.66666666666667,-9.66666666666667,-15.3333333333333,-20.6666666666667,-12.3333333333333,-12,10,-13.6666666666667,-6,-11,-21.6666666666667,-58.3333333333333,-4.33333333333334,-3.33333333333334,0,0,0
"90","Torino","West Ham","Serie A","Premier League","Joe Hart",-47,-47,-47,-48,-34,13,-47,-45,-14,-48,-39,0,-9,19,-8,-13,32,0,13
"91","West Ham","Burnley","Premier League","Premier League","Joe Hart",0,0,0,0,5,3,14,19,11,0,-27,15,0,0,-40,-50,0,0,28
"92","Everton","Betis","Premier League","La Liga","Joel Robles",0.333333333333336,1.66666666666666,0,0,14,23.3333333333333,-1.33333333333334,-8.66666666666666,-29.3333333333333,-28.6666666666667,3.33333333333334,24.6666666666667,-40,-52,29.3333333333333,20.6666666666667,10.6666666666667,0,4.33333333333334
"93","Betis","Leeds United","La Liga","Premier League","Joel Robles",-29.3333333333333,-28.6666666666667,-27,-27,-25,56.6666666666667,-21.6666666666667,-20.3333333333333,-28.6666666666667,-39.3333333333333,-27.3333333333333,-24.6666666666667,-32,-36,-14.3333333333333,-20.6666666666667,-10.6666666666667,17,-4.33333333333334
"94","Mainz 05","Huddersfield","Bundesliga","Premier League","Jonas Lössl",28,26.5,27.5,27.5,14,-5.5,10.5,5,-14.5,-9,18.5,15.5,16,9.5,15,13,5,0,1
"95","Montpellier","M'Gladbach","Ligue 1","Bundesliga","Jonas Omlin",-19,-19.3333333333333,-17.6666666666667,-18,-38.3333333333333,-36,-42,-42,-7,-17.3333333333333,-7.66666666666666,-27.3333333333333,8.66666666666666,47.6666666666667,-40.6666666666667,-28.6666666666667,-21.3333333333333,0,-13.3333333333333
"96","Sunderland","Everton","Premier League","Premier League","Jordan Pickford",32,32,31.6666666666667,31.6666666666667,1.66666666666667,-23,-14.3333333333333,-17,-38.1666666666667,34.6666666666667,36.5,-13.1666666666667,37,37.6666666666667,26,8.5,18.1666666666667,8.5,11.6666666666667
"97","Rayo Vallecano","Girona","La Liga","La Liga","Juan Carlos",-19,-15,-17,-17,-32,0,-25,-28,-11,-12,-52,-6,-24,-15,-29,-17,-32,0,-20
"98","Udinese","Atalanta","Serie A","Serie A","Juan Musso",-21,-21,-23,-24,-23.8333333333333,-15.3333333333333,-33.6666666666667,-33.5,-39.6666666666667,18.1666666666667,-24,-33.1666666666667,-9.5,-2.33333333333334,-47.5,-42.1666666666667,-14,8.5,-4.33333333333334
"99","Sevilla","Leganés","La Liga","La Liga","Juan Soriano",13,13,14,12,23,70,14,11,-70,-17,24,44,-8,-83,56,57,0,0,0
"100","Leicester City","Nice","Premier League","Ligue 1","Kasper Schmeichel",-6.83333333333333,-6.83333333333333,-6.16666666666667,-6.16666666666667,-26.3333333333333,-34.5,-8.16666666666667,2,34.8333333333333,0.833333333333329,22,-21,8.66666666666667,14.3333333333333,2.83333333333333,-10,11,17,8.33333333333333
"101","Athletic Club","Chelsea","La Liga","Premier League","Kepa Arrizabalaga",-2,-2.25,-2.75,-2.5,-20.5,-19.25,-26,-27.5,-3,16.5,-27.5,-30.5,4,25.5,-23,5,-34,0,-32.75
"102","Paris S-G","Eint Frankfurt","Ligue 1","Bundesliga","Kevin Trapp",35.6,35.3,34.8,35,65.3,53.5,56.5,51.4,-57.4,16.4,53.9,43.6,-6.2,-45.5,9,14,-9.6,3.40000000000001,-17.9
"103","Real Madrid","Paris S-G","La Liga","Ligue 1","Keylor Navas",-11.6666666666667,-11.6666666666667,-13.6666666666667,-13.6666666666667,-21,-14.5,-16.8333333333333,-15.3333333333333,17.5,-6.5,-10.1666666666667,1,10.3333333333333,27.8333333333333,-19.3333333333333,3.33333333333334,-13,-5.66666666666667,-7.5
"104","Paris S-G","Nott'ham Forest","Ligue 1","Premier League","Keylor Navas",-15,-14,-14,-13,25,77.5,-0.5,-12,-68.5,-53.5,-4.5,32,-60,-75.5,29,40,-16,0,-20.5
"105","Benevento","Hellas Verona","Serie A","Serie A","Lorenzo Montipò",-11.5,-11.5,-11.5,-11,-13,-27.5,-10,0,19.5,15,-7.5,-13.5,-17.5,-16,-40.5,-52.5,0,0,24.5
"106","Parma","Salernitana","Serie A","Serie A","Luigi Sepe",-51.3333333333333,-50.8333333333333,-52.3333333333333,-52.6666666666667,-56.6666666666667,-9.16666666666667,-58.1666666666667,-55,15,-23.3333333333333,-18.6666666666667,-52,-34.1666666666667,-13.1666666666667,-5.16666666666667,-7.5,7.5,0,6.83333333333334
"107","Eint Frankfurt","Leverkusen","Bundesliga","Bundesliga","Lukáš Hrádecký",-6.40000000000001,-6,-4.90000000000001,-4.40000000000001,-0.400000000000006,3.3,5.40000000000001,8.09999999999999,12.9,13.9,-10,-21.4,2.3,7.1,0.399999999999999,0.5,19.2,-13.6,18
"108","Guingamp","Metz","Ligue 1","Ligue 1","Marc-Aurèle Caillard",-16,-18,-18.5,-18.5,-23.5,17,-17.5,-15.5,21.5,-13,-33,-27,-27,-24.5,7.5,28.5,-32,0,-41
"109","Hellas Verona","Udinese","Serie A","Serie A","Marco Silvestri",8,8,8,8,10.5,12,-5.5,-13,-37.5,-3,7.5,-2,3,2,0,-5.5,0,9.5,0
"110","Fiorentina","Frosinone","Serie A","Serie A","Marco Sportiello",31.5,31,37,37,64,28,64.5,62.5,19,-13.5,37.5,57.5,17.5,-3,40.5,47,-16,0,-14.5
"111","Frosinone","Atalanta","Serie A","Serie A","Marco Sportiello",-58,-58.5,-58.25,-58.25,-75.25,-32.5,-79.5,-79,-12,-5.25,-57,-75.5,-43,3,-48,-52,8,0,10.25
"112","Augsburg","Dortmund","Bundesliga","Bundesliga","Marwin Hitz",-43,-44.5,-44.5,-45.5,-56,5,-70,-73.5,-43.5,-18.5,-70,-55.5,-33,0,-20,-5,-16,-8.5,-20.5
"113","Valencia","Brighton","La Liga","Premier League","Mathew Ryan",63.25,62.5,63.25,63.25,62.25,0.75,61.25,57,-5,40.75,53.25,53.5,46,28.25,33.5,35,-5.5,0,-9.75
"114","Brighton","Arsenal","Premier League","Premier League","Mathew Ryan",-66.75,-66,-66.75,-66.75,-71.75,-58.75,-65.75,-61,66.5,-31.75,-60.75,-65.5,-41.5,36.25,-41.5,-35,-10.5,0,-10.75
"115","Arsenal","Real Sociedad","Premier League","La Liga","Mathew Ryan",0,0,0,0,7,70,2,2,-30,5,-9,0,0,0,0,0,0,0,0
"116","Caen","Lorient","Ligue 1","Ligue 1","Matthieu Dreyer",26,25,26,26,34,52,20.5,17,-84,22,38,30,26,-41.5,32,31.5,0,0,0
"117","Genoa","Juventus","Serie A","Serie A","Mattia Perin",-36,-35.75,-34.5,-35.25,-45.25,-41.5,-46,-45.25,28.25,-13,-40.5,-50,-13.5,33.75,-36,-34.5,8,-8.5,13.25
"118","Nantes","Toulouse","Ligue 1","Ligue 1","Maxime Dupé",73,73,73.3333333333333,73.3333333333333,72.3333333333333,-8.33333333333333,76.6666666666667,75.6666666666667,19.3333333333333,42.6666666666667,59,69,49.6666666666667,18.3333333333333,49.3333333333333,31,34.3333333333333,0,23.3333333333333
"119","Darmstadt 98","Hannover 96","Bundesliga","Bundesliga","Michael Esser",11,11,12,13,15,9,22,27,16,-5,27,3,16,9,-6,0,0,-17,0
"120","Hannover 96","Bochum","Bundesliga","Bundesliga","Michael Esser",-57,-57,-57,-58,-87,5,-88,-87,25,-17,-51,-89,-40,-14,-48,-37,-32,0,-8
"121","Lille","Milan","Ligue 1","Serie A","Mike Maignan",-29.5,-29.25,-28.5,-28,-23.75,-14.75,-21.25,-19.5,1.25,-5.5,-4,-29.25,0,16.75,-30.25,-17.5,-21,-9,-12
"122","Valencia","Barcelona","La Liga","La Liga","Neto",-57,-56,-57,-57,-43,-9,-61.5,-69.5,5,-57.5,-59.5,-32,-48,25.5,-49,-32.5,-37,0,-17.5
"123","Barcelona","Bournemouth","La Liga","Premier League","Neto",37,36,34,34,52,48,60,63,-21,32,36,57,23,-49,40,30,0,17,0
"124","Burnley","Newcastle Utd","Premier League","Premier League","Nick Pope",9.5,10.25,4.25,3.75,-18.75,-22.75,-25.5,-27.75,-3,25.25,7.75,-44,7.5,10.5,6.25,-25.25,26,12.75,32.75
"125","Real Sociedad","Levante","La Liga","La Liga","Oier Olazábal",37.5,39.5,40.5,40.5,54.5,-13.5,63,65,60,37.5,51,50,37.5,-44,44,33.5,16,8.5,6.5
"126","Levante","Espanyol","La Liga","La Liga","Oier Olazábal",-40.5,-43.5,-43.5,-43.5,-62.5,-68.5,-62,-61,35,-46.5,-51,-50,-37.5,47,-60,-53.5,-16,-8.5,-6.5
"127","Udinese","Watford","Serie A","Premier League","Orestis Karnezis",-40,-41,-38,-38,-41,27,-40,-38,-38,-37,-35,-39,-22,23,-43,-31,0,-17,0
"128","Watford","Napoli","Premier League","Serie A","Orestis Karnezis",-10,-8,-8,-8,-23,-67,-12,-7,76,10,-9,-36,0,31,-31,-37,0,0,0
"129","Espanyol","Betis","La Liga","La Liga","Pau López",-1,2.5,2,2,7,1.5,-2,-8,-19.5,8,-4,4,12.5,13,-5.5,-10,16,0,10
"130","Betis","Roma","La Liga","Serie A","Pau López",-17,-17.5,-18,-17.5,-19.5,0.5,-16,-11,21,2.5,-17,-37,-36.5,-37.5,9,16.5,-16,0,-19
"131","Roma","Marseille","Serie A","Ligue 1","Pau López",8,9,9,9,-9.5,-32.5,-3.5,0.5,10,12,0,3,36.5,44.5,-3.5,0,-16,0,-1
"132","Nîmes","Angers","Ligue 1","Ligue 1","Paul Bernardoni",-14,-14,-13,-13.5,-4.5,7.5,-17,-24.8333333333333,-26.5,-24.6666666666667,1,-9.83333333333333,-19.1666666666667,-8.16666666666666,10.1666666666667,8.33333333333333,-5.33333333333333,5.66666666666667,-5.5
