"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"776","Brighton","Chievo","Premier League","Serie A","Ezequiel Schelotto",-24.5,-38,0,0,-19.5,-24.5,-9,-25,-30.5,-31.5,0,0,0,-22,-23.5,-13,-16.5
"777","Huesca","Osasuna","La Liga","La Liga","Ezequiel Ávila",-20.5,-24.5,-5.5,-4.5,-21,-18.25,-2.25,-9,-19,-11.75,2.5,3.5,0,-17.25,-24.5,-18,-20.25
"778","Nürnberg","Stuttgart","Bundesliga","Bundesliga","Fabian Bredlow",-31,-18,0,0,0,-10.5,0,0,-8,-6,0,0,0,-25.5,-5,-7.5,21.5
"779","Manchester City","Everton","Premier League","Premier League","Fabian Delph",-9.5,21.5,0,3,6.5,-15.5,0,-16.5,-9.5,-15.5,0,0,0,-7,-10.5,-32.5,41
"780","La Coruña","Newcastle Utd","La Liga","Premier League","Fabian Schär",-6,-11.8,2.2,0,-18.4,-6.40000000000001,-5.40000000000001,30.6,-2.40000000000001,-30.4,0,2.8,1,-2.59999999999999,-1.59999999999999,3.40000000000001,-8.2
"781","Metz","Nantes","Ligue 1","Ligue 1","Fabien Centonze",-18.6666666666667,0,0,0,-20.3333333333333,-18.3333333333333,-20,-0.333333333333329,-0.666666666666671,2,10,-4.66666666666667,0,-11.3333333333333,5.66666666666667,-10.6666666666667,19.6666666666667
"782","Monaco","Liverpool","Ligue 1","Premier League","Fabinho",-16.6,-3.2,0,0,-12.2,-20.2,-18,-10,-4.2,-10.8,-8,3.40000000000001,0,-9,-13.2,-13.4,-15.2
"783","Milan","Hellas Verona","Serie A","Serie A","Fabio Borini",-16.5,-34.5,11,0,-16,-11,11.5,-9,1,-47,10,0,0,-10,-8.5,2,-19
"784","Fulham","Liverpool","Premier League","Premier League","Fabio Carvalho",4,0,0,0,6,16,0,-9,21,7,0,0,0,6,14,14,7
"785","Benevento","Parma","Serie A","Serie A","Fabio Ceravolo",42,18,0,0,60,57,27,25,14,6,0,0,0,34,55,79,-13
"786","Chievo","Atalanta","Serie A","Serie A","Fabio Depaoli",-52,-65.5,-6,-3,-58.5,-52.5,-18,-57,-43.5,-63.5,0,-7,0,-49.5,-47,-57,4
"787","Atalanta","Benevento","Serie A","Serie A","Fabio Depaoli",32,32,0,0,31,27,18,43,25,36,0,0,5,28,32,27,11
"788","Benevento","Sampdoria","Serie A","Serie A","Fabio Depaoli",-21.75,-5.5,0,0,-14.25,-2.5,-3,-16,-25,-23.25,2.5,3.5,-5,-20.75,-26,-11.75,-34.75
"789","Sampdoria","Hellas Verona","Serie A","Serie A","Fabio Depaoli",29.25,28.5,0,0,34.25,26.5,20,27.5,24.5,27.25,-2.5,-3.5,0,34.25,32,27.25,23.75
"790","Benevento","Lecce","Serie A","Serie A","Fabio Lucioni",65,54,11,0,43,40,-18,22,44,11,0,17,0,63,45,76,-26
"791","Eibar","Valladolid","La Liga","La Liga","Fabián Orellana",2,-2,-7.33333333333333,-2,11.6666666666667,9.66666666666667,-2,1.33333333333333,1,8.66666666666666,-6.66666666666667,0,0,2.33333333333333,-20,7.33333333333333,-13.6666666666667
"792","Betis","Napoli","La Liga","Serie A","Fabián Ruiz Peña",-6.5,-12.5,2.75,1.5,-22.5,-13.5,-11.25,5,-12.5,-10.5,0,3.5,0,-5.5,-20.25,-10.75,-18
"793","Napoli","Paris S-G","Serie A","Ligue 1","Fabián Ruiz Peña",-13.5,-31.5,-2.75,-1.5,7.5,-20.5,21.25,-8,-12.5,-3.5,0,10.5,0,-5.5,-20.75,-12.25,-18
"794","Chievo","Cagliari","Serie A","Serie A","Fabrizio Cacciatore",-21.5,-14.5,0,0,-1.5,-20.5,-7.5,-6.5,-9.5,-21,0,14,0,-19.5,-30,-19,-32
"795","Espanyol","Celta Vigo","La Liga","La Liga","Facundo Ferreyra",-3,29,11,6,13.5,0.5,-15.5,-8.5,7,0.5,0,0,0,-4.5,-8.5,-14.5,4.5
"796","Celta Vigo","Valencia","La Liga","La Liga","Facundo Roncaglia",-22,23,11,6,-23.5,-6,-9,-15,-25,-28.5,0,-7,0,-13.5,-7.5,-18,15
"797","Valencia","Osasuna","La Liga","La Liga","Facundo Roncaglia",21.5,-12,0.5,0,25,9.5,0,28.5,23,16.5,0,15.5,0,22,19,27,-7.5
"798","Nîmes","Rennes","Ligue 1","Ligue 1","Faitout Maouassa",-25,6.66666666666666,-11,-6,2.66666666666666,-7.66666666666667,15,-7.66666666666667,-14.3333333333333,-30.3333333333333,0,4.66666666666667,0,-26.6666666666667,-15.6666666666667,1.66666666666666,-28.6666666666667
"799","Rennes","Montpellier","Ligue 1","Ligue 1","Faitout Maouassa",17,-38.6666666666667,0,0,35.3333333333333,13.6666666666667,12,8.66666666666667,9.33333333333334,31.3333333333333,0,-4.66666666666667,0,14.6666666666667,3.66666666666666,-3.66666666666666,13.6666666666667
"800","Saint-Étienne","Montpellier","Ligue 1","Ligue 1","Falaye Sacko",53,44,0,0,37,47,40,27,50,31,0,18,5,45,26,38,-40
"801","Napoli","Angers","Serie A","Ligue 1","Faouzi Ghoulam",-5,-23.6,0,0,-7.4,-7.4,11.4,-1.8,-6.2,-3.8,0,0,0,-7.6,-5.4,-6.2,10
