"","Player","Squad","Comp","Season_End_Year","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"63","Fernando Pacheco","Alavés","La Liga",2019.5,82.3333333333333,79.6666666666667,78.3333333333333,78.5,79,49.5,76.3333333333333,72.8333333333333,51.5,65.1666666666667,70.5,85.3333333333333,71.6666666666667,50.5,84.3333333333333,85.5,83,82.8333333333333,69.6666666666667
"64","Florian Müller","Mainz 05","Bundesliga",2019,28.3333333333333,28,27.6666666666667,28,39.6666666666667,71.3333333333333,34.6666666666667,33.3333333333333,27.6666666666667,31.6666666666667,24,48.6666666666667,32,34.3333333333333,44.3333333333333,38.6666666666667,75.3333333333333,85.6666666666667,79
"65","Florian Müller","Freiburg","Bundesliga",2021,62,62,62,62,77,55,85,88,60,70,75,73,57,35,50,48,86,80,83
"66","Fraser Forster","Southampton","Premier League",2019.5,48.75,49,48.75,48.75,49.75,54.75,44.5,43.25,40,46,53.5,56,49.25,50,50,47.5,78,84.75,74
"67","Frederik Rønnow","Eint Frankfurt","Bundesliga",2020,20,21,21,21,21,64,23,26,80,21,32,28,19,16,35,48,54,80,54
"68","Frederik Rønnow","Schalke 04","Bundesliga",2021,23,23,22,23,34,93,32,32,48,7,41,40,19,14,64,78,54,80,54
"69","Gabriel","Cagliari","Serie A",2017,8,9,8,8,9,72,6,7,43,16,17,10,10,10,19,28,54,80,54
"70","Gerónimo Rulli","Real Sociedad","La Liga",2017.5,72,72,71,71,72.25,47.25,66.5,66.5,39,74,71,68.75,73.25,59,74.25,67.25,86,89.5,72.75
"71","Gerónimo Rulli","Montpellier","Ligue 1",2020,48,48,48,48,40,20,60,69,92,70,67,46,70,73,75,65,96,80,86
"72","Gianluigi Buffon","Juventus","Serie A",2019,34.5,35,34.25,34.25,19.75,8,24.5,27.5,83.5,70.25,22.25,15.5,57.5,72.25,42,42.25,70,84.25,66.25
"73","Gianluigi Donnarumma","Milan","Serie A",2019,92.4,92.4,89.8,89.8,64.2,20.2,73.2,76.2,69.8,92.4,81.2,55.8,90.8,75.4,73.8,64.8,84.4,90.8,76.4
"74","Gorka Iraizoz","Athletic Club","La Liga",2016.5,62,61,58.5,58.5,44,30.5,44.5,49.5,44,63.5,53.5,59.5,63.5,58.5,62.5,53,91,80,82
"75","Gregor Kobel","Augsburg","Bundesliga",2019,32,32,30,30,69,97,44,36,4,33,23,63,34,33,35,28,86,80,95
"76","Gregor Kobel","Hoffenheim","Bundesliga",2019,2,2,2,2,1,16,3,5,100,16,8,2,10,10,19,28,54,80,54
"77","Gregor Kobel","Stuttgart","Bundesliga",2021,70,70,70,70,89,70,85,80,41,70,83,78,50,23,89,85,96,80,76
"78","Guillermo Ochoa","Granada","La Liga",2017,100,100,100,100,100,91,100,100,30,33,75,100,34,12,64,48,86,97,83
"79","Iago Herrerín","Leganés","La Liga",2017,41,41,39,39,36,31,31,32,29,33,67,63,57,62,64,65,86,80,74
"80","Ionuț Radu","Genoa","Serie A",2019.5,52,52.5,52,52,66,68,63,63,57,32,74.5,70.5,42,24,86,88,70,88.5,58
"81","Ionuț Radu","Auxerre","Ligue 1",2023,32,32,32,32,24,18,32,35,76,33,59,40,50,71,35,3,96,80,100
"82","Ivan Provedel","Empoli","Serie A",2019,32,32,32,32,57,93,51,50,36,33,41,50,10,10,64,65,54,97,54
"83","Ivan Provedel","Spezia","Serie A",2021.5,59.5,59.5,58.5,58.5,88,78.5,78,73,43,51,69.5,85,52,31.5,94,95,70,89.5,56.5
"84","Ivo Grbić","Lille","Ligue 1",2022,41,41,41,41,42,42,40,41,44,52,67,40,27,14,35,48,54,80,54
"85","Iván Cuéllar","Sporting Gijón","La Liga",2016.5,75,75.5,75,76,90.5,72,90,92.5,41.5,47.5,81.5,93.5,63,38,93,88,91,89.5,68
"86","Jack Butland","Stoke City","Premier League",2018,80,80,80,80,95,76,99,99,61,48,93,92,57,28,75,85,54,80,54
"87","Jasper Cillessen","Barcelona","La Liga",2019,8,9,8,8,6,42,7,9,91,16,17,10,19,78,19,28,54,80,54
"88","Jean-Louis Leca","Bastia","Ligue 1",2017,76,76,71,71,72,36,77,79,66,52,83,89,70,47,93,78,99,97,87
"89","Jessy Moulin","Saint-Étienne","Ligue 1",2019.66666666667,26.3333333333333,26.3333333333333,25.6666666666667,25.6666666666667,28.3333333333333,45.6666666666667,25.3333333333333,26,69,29.6666666666667,38,33,40.6666666666667,79.3333333333333,39.3333333333333,51.3333333333333,54,80,54
"90","Joe Hart","Torino","Serie A",2017,85,85,85,86,96,75,90,81,25,75,98,63,50,20,83,91,54,80,54
"91","Joe Hart","West Ham","Premier League",2018,38,38,38,38,62,88,43,36,11,27,59,63,41,39,75,78,86,80,67
"92","Joel Robles","Everton","Premier League",2017,39,38,38,38,28,17,37,43,87,75,41,22,82,98,35,48,54,80,54
"93","Joel Robles","Betis","La Liga",2020,39.3333333333333,39.6666666666667,38,38,42,40.3333333333333,35.6666666666667,34.3333333333333,57.6666666666667,46.3333333333333,44.3333333333333,46.6666666666667,42,46,64.3333333333333,68.6666666666667,64.6666666666667,80,58.3333333333333
"94","Jonas Lössl","Mainz 05","Bundesliga",2017,53,53,53,53,77,74,70,66,35,52,51,82,50,33,64,65,86,80,74
"95","Jonas Omlin","Montpellier","Ligue 1",2022,49,49.3333333333333,46.6666666666667,47,63.3333333333333,71,68,70,64,55.3333333333333,48.6666666666667,67.3333333333333,41.3333333333333,30.3333333333333,75.6666666666667,76.6666666666667,75.3333333333333,80,67.3333333333333
"96","Jordan Pickford","Sunderland","Premier League",2017,57,57,57,57,83,75,97,98,76,38,41,98,41,19,35,48,54,80,54
"97","Juan Carlos","Rayo Vallecano","La Liga",2016,41,38,39,39,57,79,46,47,25,33,75,46,34,25,64,65,86,80,74
"98","Juan Musso","Udinese","Serie A",2020,79,79,78,79,78.3333333333333,47.3333333333333,84.6666666666667,86,84.6666666666667,64.3333333333333,82,84.6666666666667,76,59.3333333333333,97,98.6666666666667,68,80,58.3333333333333
"99","Juan Soriano","Sevilla","La Liga",2019,10,11,9,11,2,0,6,7,99,33,8,2,27,97,19,28,54,80,54
"100","Kasper Schmeichel","Leicester City","Premier League",2019.5,86.8333333333333,86.8333333333333,86.1666666666667,86.1666666666667,80.3333333333333,46.5,78.1666666666667,76,50.1666666666667,80.1666666666667,74,78,77.3333333333333,56.6666666666667,72.1666666666667,75,75,80,65.6666666666667
"101","Kepa Arrizabalaga","Athletic Club","La Liga",2018,59,59,59,59,72,51,71,72,42,48,83,82,63,46,50,28,96,80,97
"102","Kevin Trapp","Paris S-G","Ligue 1",2017.5,28,28.5,28,28,12.5,8.5,17.5,21,94,59,24.5,13,58,76.5,35,38,70,80,74.5
"103","Keylor Navas","Real Madrid","La Liga",2017,60.6666666666667,60.6666666666667,60.6666666666667,60.6666666666667,46,19,56.3333333333333,63.3333333333333,76,93,55.6666666666667,24,68.6666666666667,58.6666666666667,54.3333333333333,34.6666666666667,83,85.6666666666667,82
"104","Keylor Navas","Paris S-G","Ligue 1",2021.5,49,49,47,47,25,4.5,39.5,48,93.5,86.5,45.5,25,79,86.5,35,38,70,80,74.5
"105","Lorenzo Montipò","Benevento","Serie A",2021,92,92,92,92,100,87,93,80,8,48,93,96,63,34,75,78,86,80,67
"106","Luigi Sepe","Parma","Serie A",2020,84.3333333333333,84.3333333333333,84.3333333333333,84.6666666666667,93.6666666666667,73.6666666666667,96.6666666666667,94,54,56.3333333333333,81.6666666666667,91,60.6666666666667,33.6666666666667,74.6666666666667,79,69,80,63.6666666666667
"107","Lukáš Hrádecký","Eint Frankfurt","Bundesliga",2017.5,73,73,70.5,71,70,37.5,62,59.5,31.5,72.5,75,78,72.5,52.5,57,56.5,54,97,54
"108","Marc-Aurèle Caillard","Guingamp","Ligue 1",2019,41,41,41,41,54,68,44,41,18,33,67,63,57,62,35,28,86,80,95
"109","Marco Silvestri","Hellas Verona","Serie A",2020.5,78,78,78,78,70.5,31.5,77,80.5,75.5,70,90,74.5,69.5,46,89,93.5,54,88.5,54
"110","Marco Sportiello","Fiorentina","Serie A",2017.5,48.5,49,43,43,33,53,34.5,35.5,33,51.5,45.5,41.5,52.5,48,34.5,38,70,80,68.5
"111","Marco Sportiello","Frosinone","Serie A",2019,80,80,80,80,97,81,99,98,52,38,83,99,70,45,75,85,54,80,54
"112","Marwin Hitz","Augsburg","Bundesliga",2017.5,65,66,65,66,76,52,87.5,89.5,66,61.5,85.5,77.5,69.5,51,55,53,70,88.5,74.5
"113","Mathew Ryan","Valencia","La Liga",2016.5,11.5,12.5,11.5,11.5,11.5,60,9.5,11,37.5,7,24.5,22,14.5,13.5,27,28,70,80,74.5
"114","Mathew Ryan","Brighton","Premier League",2019.5,74.75,75,74.75,74.75,73.75,60.75,70.75,68,32.5,47.75,77.75,75.5,60.5,41.75,60.5,63,64.5,80,64.75
"115","Mathew Ryan","Arsenal","Premier League",2021,8,9,8,8,2,2,5,7,99,16,17,10,19,78,19,28,54,80,54
"116","Matthieu Dreyer","Caen","Ligue 1",2017,5,6,5,5,2,16,6,7,99,16,8,10,19,97,19,28,54,80,54
"117","Mattia Perin","Genoa","Serie A",2019,57.5,57.75,56.5,57.25,57.25,46.5,63,65.25,57.25,53.5,65,66,67,65.25,63,62.5,62,88.5,61.25
"118","Maxime Dupé","Nantes","Ligue 1",2018,19,19,18.6666666666667,18.6666666666667,18.6666666666667,67.3333333333333,16.3333333333333,15.3333333333333,26.6666666666667,32.3333333333333,24,20,26.3333333333333,31.6666666666667,39.6666666666667,47,64.6666666666667,80,63.6666666666667
"119","Michael Esser","Darmstadt 98","Bundesliga",2017,54,55,53,53,83,80,77,72,41,43,32,96,34,15,89,85,86,97,62
"120","Michael Esser","Hannover 96","Bundesliga",2019,65,66,65,66,98,89,99,99,57,38,59,99,50,24,83,85,86,80,62
"121","Mike Maignan","Lille","Ligue 1",2019.5,82.5,82.75,81.5,81.5,52.75,21.25,60.25,64,71.25,85.5,71,54.25,84.5,75.25,72.75,65.5,91,89,80.5
"122","Neto","Valencia","La Liga",2018.5,73,73,73,73,53,16,74.5,84.5,92,84.5,82.5,48,82,66.5,84,80.5,91,80,71.5
"123","Neto","Barcelona","La Liga",2021,16,17,16,16,10,7,13,15,97,27,23,16,34,92,35,48,54,80,54
"124","Nick Pope","Burnley","Premier League",2020.25,82.5,81.75,81.75,82.25,68.75,30.75,84.5,90.75,79,67.75,89.25,78,87.5,75.5,68.75,73.25,70,84.25,62.25
"125","Oier Olazábal","Real Sociedad","La Liga",2016,8,6,5,5,9,84,3,3,5,16,8,10,19,97,35,48,54,80,54
"126","Oier Olazábal","Levante","La Liga",2018.5,45.5,45.5,45.5,45.5,63.5,70.5,66,68,65,53.5,59,60,56.5,53,79,81.5,70,88.5,60.5
"127","Orestis Karnezis","Udinese","Serie A",2017,70,70,67,67,75,45,66,62,51,70,67,85,63,39,93,96,54,97,54
"128","Orestis Karnezis","Watford","Premier League",2018,30,29,29,29,34,72,26,24,13,33,32,46,41,62,50,65,54,80,54
"129","Pau López","Espanyol","La Liga",2017,71,67.5,68,68,72,48.5,72,72,50.5,67,71,78,69.5,55,69.5,75,70,80,64
"130","Pau López","Betis","La Liga",2019,70,70,70,70,79,50,70,64,31,75,67,82,82,68,64,65,86,80,74
